record_id,district,taluk,village,survey_no,subdivision,area,classification,record_status,mutation_status
1,Coimbatore,Coimbatore North,Negamam,4038,3,0.266,Residential,Verified,Updated
2,Coimbatore,Madukkarai,Mettupalayam,6849,6,0.59,Punjai,Under Review,Updated
3,Coimbatore,Sulur,Sulur,1114,2,0.819,Nanjai,Active,Updated
4,Coimbatore,Kinathukadavu,Pollachi,5229,1,0.396,Industrial,Active,Updated
5,Coimbatore,Pollachi,Kinathukadavu,5904,7,0.865,Nanjai,Under Review,Updated
6,Coimbatore,Annur,Kovilpalayam,7618,4,0.577,Commercial,Active,Updated
7,Coimbatore,Pollachi,Perur,4887,5,0.688,Poramboke,Under Review,Updated
8,Coimbatore,Kinathukadavu,Saravanampatti,3137,7,0.537,Punjai,Under Review,Pending
9,Coimbatore,Coimbatore South,Pollachi,5080,7,0.637,Residential,Pending,Updated
10,Coimbatore,Coimbatore North,Pollachi,5979,4,0.845,Punjai,Active,Pending
11,Coimbatore,Annur,Mettupalayam,2693,4,0.988,Poramboke,Active,Updated
12,Coimbatore,Pollachi,Annur,7185,5,0.405,Government,Under Review,Updated
13,Coimbatore,Coimbatore North,Annur,6602,1,0.496,Industrial,Pending,Disputed
14,Coimbatore,Coimbatore South,Karamadai,2238,1,0.157,Punjai,Verified,Updated
15,Coimbatore,Coimbatore South,Pollachi,4098,5,1.106,Nanjai,Verified,Updated
16,Coimbatore,Kinathukadavu,Pollachi,6319,3,1.031,Residential,Active,Updated
17,Coimbatore,Madukkarai,Madukkarai,837,7,4.613,Government,Under Review,Pending
18,Coimbatore,Madukkarai,Thudiyalur,817,6,0.252,Residential,Under Review,Pending
19,Coimbatore,Sulur,Madukkarai,6466,4,1.075,Government,Pending,Updated
20,Coimbatore,Coimbatore South,Madukkarai,5799,6,3.709,Punjai,Verified,Pending
21,Coimbatore,Mettupalayam,Kovilpalayam,8694,6,2.337,Government,Under Review,Pending
22,Coimbatore,Sulur,Pollachi,6676,4,0.679,Residential,Under Review,Pending
23,Coimbatore,Madukkarai,Mettupalayam,4180,2,1.246,Punjai,Active,Not Required
24,Coimbatore,Mettupalayam,Madukkarai,164,7,0.757,Punjai,Under Review,Not Required
25,Coimbatore,Coimbatore North,Sulur,5544,1,0.373,Nanjai,Under Review,Not Required
26,Coimbatore,Mettupalayam,Saravanampatti,4530,7,1.969,Government,Verified,Updated
27,Coimbatore,Coimbatore North,Thudiyalur,5612,6,0.912,Residential,Verified,Updated
28,Coimbatore,Mettupalayam,Saravanampatti,592,5,0.715,Punjai,Verified,Not Required
29,Coimbatore,Coimbatore North,Negamam,7746,5,2.395,Government,Verified,Updated
30,Coimbatore,Madukkarai,Karamadai,5390,2,1.588,Punjai,Under Review,Updated
31,Coimbatore,Coimbatore North,Saravanampatti,7572,1,1.312,Industrial,Pending,Updated
32,Coimbatore,Annur,Mettupalayam,6765,5,0.251,Nanjai,Verified,Updated
33,Coimbatore,Annur,Kinathukadavu,2721,7,1.022,Punjai,Verified,Updated
34,Coimbatore,Kinathukadavu,Annur,4616,4,5.407,Residential,Under Review,Updated
35,Coimbatore,Sulur,Thudiyalur,961,6,7.639,Industrial,Under Review,Not Required
36,Coimbatore,Sulur,Madukkarai,8573,3,1.373,Punjai,Active,Updated
37,Coimbatore,Annur,Kinathukadavu,2597,7,0.594,Punjai,Verified,Not Required
38,Coimbatore,Sulur,Saravanampatti,1585,4,0.614,Government,Pending,Not Required
39,Coimbatore,Sulur,Annur,1790,4,0.803,Residential,Active,Pending
40,Coimbatore,Annur,Karamadai,8759,3,1.058,Residential,Verified,Pending
41,Coimbatore,Coimbatore North,Perur,6970,2,0.327,Nanjai,Verified,Not Required
42,Coimbatore,Coimbatore South,Kovilpalayam,5788,2,0.506,Residential,Verified,Pending
43,Coimbatore,Madukkarai,Madukkarai,2466,1,0.182,Residential,Pending,Updated
44,Coimbatore,Coimbatore North,Pollachi,849,1,1.049,Government,Active,Updated
45,Coimbatore,Kinathukadavu,Madukkarai,1053,5,0.995,Nanjai,Verified,Pending
46,Coimbatore,Kinathukadavu,Madukkarai,3243,4,1.302,Nanjai,Pending,Not Required
47,Coimbatore,Madukkarai,Sulur,4170,3,0.537,Residential,Pending,Updated
48,Coimbatore,Coimbatore North,Perur,3534,6,0.851,Government,Pending,Updated
49,Coimbatore,Coimbatore South,Perur,3960,2,0.392,Poramboke,Under Review,Pending
50,Coimbatore,Pollachi,Karamadai,6260,4,0.458,Punjai,Pending,Updated
51,Coimbatore,Sulur,Karamadai,6770,4,1.055,Residential,Active,Updated
52,Coimbatore,Pollachi,Kinathukadavu,4529,1,0.621,Commercial,Pending,Updated
53,Coimbatore,Pollachi,Perur,3572,7,0.686,Government,Pending,Updated
54,Coimbatore,Annur,Madukkarai,843,4,0.433,Poramboke,Active,Pending
55,Coimbatore,Madukkarai,Saravanampatti,2935,3,1.868,Residential,Verified,Updated
56,Coimbatore,Coimbatore South,Karamadai,4858,2,1.817,Residential,Under Review,Not Required
57,Coimbatore,Sulur,Negamam,8242,4,3.416,Nanjai,Under Review,Updated
58,Coimbatore,Coimbatore North,Perur,6796,6,5.327,Commercial,Pending,Updated
59,Coimbatore,Coimbatore South,Perur,416,7,0.617,Nanjai,Active,Updated
60,Coimbatore,Coimbatore South,Perur,7320,5,4.732,Residential,Active,Not Required
61,Coimbatore,Madukkarai,Saravanampatti,9470,5,0.594,Industrial,Under Review,Not Required
