mutation_id,record_id,mutation_date,mutation_type,mutation_status
MUT-000001,1,2026-02-10,Correction,Updated
MUT-000002,2,2025-07-29,Sale,Updated
MUT-000003,3,2024-09-23,Transfer,Updated
MUT-000004,4,2019-01-01,Partition,Updated
MUT-000005,5,2025-11-13,Partition,Updated
MUT-000006,6,2024-03-26,Sale,Updated
MUT-000007,7,2022-02-11,Partition,Updated
MUT-000008,8,2026-06-12,Correction,Pending
MUT-000009,9,2023-09-30,Transfer,Updated
MUT-000010,10,2020-11-15,Transfer,Pending
MUT-000011,11,2021-12-26,Transfer,Updated
MUT-000012,12,2021-11-13,Inheritance,Updated
MUT-000013,13,2021-11-12,Partition,Disputed
MUT-000014,14,2022-07-30,Inheritance,Updated
MUT-000015,15,2020-08-21,Inheritance,Updated
MUT-000016,16,2021-03-17,Partition,Updated
MUT-000017,17,2019-11-09,Transfer,Pending
MUT-000018,18,2020-12-26,Transfer,Pending
MUT-000019,19,2022-06-14,Partition,Updated
MUT-000020,20,2023-05-11,Inheritance,Pending
MUT-000021,21,2024-12-18,Transfer,Pending
MUT-000022,22,2024-12-28,Sale,Pending
MUT-000023,23,2024-05-30,Correction,Not Required
MUT-000024,24,2020-06-30,Partition,Not Required
MUT-000025,25,2022-12-21,Sale,Not Required
MUT-000026,26,2024-06-22,Partition,Updated
MUT-000027,27,2020-02-14,Partition,Updated
MUT-000028,28,2022-06-07,Transfer,Not Required
MUT-000029,29,2020-01-30,Partition,Updated
MUT-000030,30,2020-02-27,Inheritance,Updated
MUT-000031,31,2025-10-22,Sale,Updated
MUT-000032,32,2025-08-21,Sale,Updated
MUT-000033,33,2024-01-30,Sale,Updated
MUT-000034,34,2026-02-04,Correction,Updated
MUT-000035,35,2019-10-12,Inheritance,Not Required
MUT-000036,36,2025-07-24,Correction,Updated
MUT-000037,37,2026-01-18,Inheritance,Not Required
MUT-000038,38,2020-12-19,Correction,Not Required
MUT-000039,39,2022-07-30,Sale,Pending
MUT-000040,40,2019-06-05,Transfer,Pending
MUT-000041,41,2023-01-24,Inheritance,Not Required
MUT-000042,42,2021-10-07,Correction,Pending
MUT-000043,43,2019-09-03,Correction,Updated
MUT-000044,44,2023-02-23,Partition,Updated
MUT-000045,45,2026-04-21,Correction,Pending
MUT-000046,46,2025-11-05,Inheritance,Not Required
MUT-000047,47,2019-11-09,Partition,Updated
MUT-000048,48,2019-05-01,Partition,Updated
MUT-000049,49,2019-11-11,Transfer,Pending
MUT-000050,50,2021-02-13,Partition,Updated
MUT-000051,51,2024-05-22,Partition,Updated
MUT-000052,52,2019-01-12,Transfer,Updated
MUT-000053,53,2023-02-03,Transfer,Updated
MUT-000054,54,2025-04-22,Transfer,Pending
MUT-000055,55,2021-06-13,Inheritance,Updated
MUT-000056,56,2020-06-18,Sale,Not Required
MUT-000057,57,2022-03-07,Transfer,Updated
