project_id,parcel_id,case_id,land_required,affected_family_count,priority
PRJ-03428,PAR-000001,CASE-000001,0.247,1,Strategic
PRJ-02139,PAR-000002,CASE-000002,0.413,2,Strategic
PRJ-03745,PAR-000003,CASE-000003,0.528,3,High
PRJ-02250,PAR-000004,CASE-000004,0.302,2,Normal
PRJ-04036,PAR-000005,CASE-000005,0.775,2,Strategic
PRJ-04290,PAR-000006,CASE-000006,0.418,2,High
PRJ-02200,PAR-000007,CASE-000007,0.55,3,Normal
PRJ-04439,PAR-000008,CASE-000008,0.626,1,High
PRJ-03430,PAR-000009,CASE-000009,0.731,1,Normal
PRJ-02206,PAR-000010,CASE-000010,0.517,2,Normal
PRJ-02296,PAR-000011,CASE-000011,1.077,5,High
PRJ-01034,PAR-000012,CASE-000012,0.34,2,Normal
PRJ-03491,PAR-000013,CASE-000013,0.429,2,Normal
PRJ-00812,PAR-000014,CASE-000014,0.105,2,Normal
PRJ-00576,PAR-000015,CASE-000015,1.283,1,Normal
PRJ-03483,PAR-000016,CASE-000016,0.888,2,Strategic
PRJ-02071,PAR-000017,CASE-000017,3.431,1,Normal
PRJ-03984,PAR-000018,CASE-000018,0.132,1,High
PRJ-02286,PAR-000019,CASE-000019,0.616,1,Normal
PRJ-02730,PAR-000020,CASE-000020,2.604,2,Normal
PRJ-02375,PAR-000021,CASE-000021,2.331,3,Normal
PRJ-04515,PAR-000022,CASE-000022,0.418,1,High
PRJ-00659,PAR-000023,CASE-000023,1.444,2,Normal
PRJ-01550,PAR-000024,CASE-000024,0.44,2,High
PRJ-02552,PAR-000025,CASE-000025,0.288,2,Normal
PRJ-04529,PAR-000026,CASE-000026,1.016,1,High
PRJ-04948,PAR-000027,CASE-000027,0.964,1,High
PRJ-01656,PAR-000028,CASE-000028,0.438,3,Normal
PRJ-01509,PAR-000029,CASE-000029,2.655,1,High
PRJ-03519,PAR-000030,CASE-000030,1.097,1,High
PRJ-00013,PAR-000031,CASE-000031,1.091,1,Normal
PRJ-02571,PAR-000032,CASE-000032,0.28,1,Normal
PRJ-04349,PAR-000033,CASE-000033,1.034,3,Strategic
PRJ-00956,PAR-000034,CASE-000034,4.186,2,Normal
PRJ-00117,PAR-000035,CASE-000035,7.369,2,Strategic
PRJ-04351,PAR-000036,CASE-000036,0.766,2,Normal
PRJ-04931,PAR-000037,CASE-000037,0.397,2,High
PRJ-00968,PAR-000038,CASE-000038,0.679,5,Strategic
PRJ-01259,PAR-000039,CASE-000039,0.722,2,Normal
PRJ-01857,PAR-000040,CASE-000040,1.09,3,Normal
PRJ-03471,PAR-000041,CASE-000041,0.239,3,Normal
PRJ-02722,PAR-000042,CASE-000042,0.416,2,Normal
PRJ-04802,PAR-000043,CASE-000043,0.128,2,High
PRJ-00410,PAR-000044,CASE-000044,0.783,2,Normal
PRJ-00408,PAR-000045,CASE-000045,1.049,1,High
PRJ-04038,PAR-000046,CASE-000046,0.79,2,Normal
PRJ-04420,PAR-000047,CASE-000047,0.431,2,High
PRJ-03723,PAR-000048,CASE-000048,0.542,3,Normal
PRJ-02963,PAR-000049,CASE-000049,0.334,1,Normal
PRJ-01806,PAR-000050,CASE-000050,0.258,3,Normal
PRJ-00820,PAR-000051,CASE-000051,0.946,1,High
PRJ-02500,PAR-000052,CASE-000052,0.667,2,Normal
PRJ-00047,PAR-000053,CASE-000053,0.682,3,Normal
PRJ-03928,PAR-000054,CASE-000054,0.365,1,Strategic
PRJ-04413,PAR-000055,CASE-000055,1.851,1,Normal
PRJ-03966,PAR-000056,CASE-000056,1.342,3,Normal
PRJ-03783,PAR-000057,CASE-000057,1.771,3,High
PRJ-02071,PAR-000058,CASE-000058,5.48,1,High
PRJ-00121,PAR-000059,CASE-000059,0.481,1,Normal
PRJ-04700,PAR-000060,CASE-000060,4.436,2,Normal
PRJ-03565,PAR-000061,CASE-000061,0.658,3,Normal
PRJ-03350,PAR-000062,CASE-000062,0.405,2,High
PRJ-00147,PAR-000063,CASE-000063,0.824,3,Normal
PRJ-02660,PAR-000064,CASE-000064,0.369,2,Normal
PRJ-01864,PAR-000065,CASE-000065,0.482,1,High
PRJ-03686,PAR-000066,CASE-000066,0.087,2,Normal
PRJ-02172,PAR-000067,CASE-000067,1.815,1,Normal
PRJ-04680,PAR-000068,CASE-000068,0.412,2,Normal
PRJ-02050,PAR-000069,CASE-000069,0.323,4,Strategic
PRJ-02802,PAR-000070,CASE-000070,0.795,2,High
PRJ-02479,PAR-000071,CASE-000071,1.899,3,High
PRJ-01712,PAR-000072,CASE-000072,0.128,1,Normal
PRJ-01340,PAR-000073,CASE-000073,1.697,2,Normal
PRJ-03519,PAR-000074,CASE-000074,2.182,4,Strategic
PRJ-01645,PAR-000075,CASE-000075,0.527,1,Normal
PRJ-02849,PAR-000076,CASE-000076,0.924,2,Normal
PRJ-03824,PAR-000077,CASE-000077,0.949,2,Normal
PRJ-00512,PAR-000078,CASE-000078,0.137,3,Normal
PRJ-04561,PAR-000079,CASE-000079,0.413,2,Normal
PRJ-04797,PAR-000080,CASE-000080,2.189,4,Normal
PRJ-02034,PAR-000081,CASE-000081,0.46,3,Normal
PRJ-00257,PAR-000082,CASE-000082,0.282,2,Normal
PRJ-01799,PAR-000083,CASE-000083,2.866,2,High
PRJ-04788,PAR-000084,CASE-000084,0.595,2,High
PRJ-05000,PAR-000085,CASE-000085,1.931,2,High
PRJ-04508,PAR-000086,CASE-000086,0.875,2,High
PRJ-03416,PAR-000087,CASE-000087,1.207,2,Strategic
PRJ-01202,PAR-000088,CASE-000088,1.394,4,Normal
PRJ-03292,PAR-000089,CASE-000089,3.253,2,Normal
PRJ-04515,PAR-000090,CASE-000090,0.277,2,Normal
PRJ-01732,PAR-000091,CASE-000091,0.537,4,Strategic
PRJ-00888,PAR-000092,CASE-000092,2.443,3,Normal
PRJ-04229,PAR-000093,CASE-000093,1.091,2,Normal
PRJ-02831,PAR-000094,CASE-000094,0.541,3,Strategic
PRJ-00990,PAR-000095,CASE-000095,0.544,4,Normal
PRJ-00531,PAR-000096,CASE-000096,0.901,2,Normal
