project_id,notification,award,compensation,legal_disputes,possession,rehabilitation,approvals,documentation
PRJ-03428,0,0,0,0,0,0,0,0
PRJ-02139,0,1,1,0,1,0,0,0
PRJ-03745,0,1,1,0,0,0,0,0
PRJ-02250,1,0,0,0,0,1,0,0
PRJ-04036,0,0,0,0,0,0,0,0
PRJ-04290,0,0,0,0,0,0,0,0
PRJ-02200,0,0,0,0,0,0,0,0
PRJ-04439,0,0,1,0,0,0,1,0
PRJ-03430,1,0,1,0,0,0,0,0
PRJ-02206,0,1,1,0,0,0,0,0
PRJ-02296,0,0,0,0,0,1,0,0
PRJ-01034,0,0,0,0,0,0,0,0
PRJ-03491,0,0,0,0,0,0,0,1
PRJ-00812,0,0,0,0,0,0,0,0
PRJ-00576,0,0,0,0,0,0,0,0
PRJ-03483,0,0,0,0,0,0,0,0
PRJ-02071,0,0,0,1,0,0,0,0
PRJ-03984,0,1,1,0,0,0,0,0
PRJ-02286,0,0,0,0,1,0,0,1
PRJ-02730,0,0,1,0,0,1,0,0
PRJ-02375,0,0,0,0,0,0,0,0
PRJ-04515,0,0,0,1,0,0,0,1
PRJ-00659,0,0,0,0,0,0,0,0
PRJ-01550,0,0,0,0,0,0,0,0
PRJ-02552,0,0,0,0,0,0,0,0
PRJ-04529,0,0,0,0,1,0,1,0
PRJ-04948,0,0,0,0,0,0,0,0
PRJ-01656,0,0,0,0,0,0,0,0
PRJ-01509,0,0,0,0,0,0,0,1
PRJ-03519,0,0,0,0,0,0,0,0
PRJ-00013,0,0,0,0,0,0,1,0
PRJ-02571,1,0,0,0,0,0,0,0
PRJ-04349,0,0,0,0,0,1,0,0
PRJ-00956,0,0,1,1,0,1,0,0
PRJ-00117,0,0,0,0,0,0,0,0
PRJ-04351,0,0,0,1,0,0,1,0
PRJ-04931,0,0,0,0,0,0,0,0
PRJ-00968,0,0,0,1,0,0,1,0
PRJ-01259,0,0,0,0,0,1,0,0
PRJ-01857,1,0,0,1,1,0,1,0
PRJ-03471,0,0,0,0,0,1,0,0
PRJ-02722,0,0,0,1,0,0,0,0
PRJ-04802,0,0,0,0,1,0,0,0
PRJ-00410,0,0,0,0,0,0,0,0
PRJ-00408,0,0,0,0,0,0,0,1
PRJ-04038,0,0,0,0,0,1,1,0
PRJ-04420,0,0,0,0,0,0,0,0
PRJ-03723,1,0,0,0,0,0,0,0
PRJ-02963,0,0,0,0,0,0,0,0
PRJ-01806,0,0,0,0,0,1,0,0
PRJ-00820,0,0,0,1,0,0,0,0
PRJ-02500,0,0,0,0,0,0,0,0
PRJ-00047,0,1,1,0,1,0,0,0
PRJ-03928,0,0,0,0,0,0,0,0
PRJ-04413,1,0,0,0,0,0,0,0
PRJ-03966,1,0,0,0,0,0,0,1
PRJ-03783,0,1,0,1,0,1,0,1
PRJ-02071,0,0,0,0,1,1,0,0
PRJ-00121,1,1,1,0,0,0,0,0
PRJ-04700,0,0,0,0,0,0,0,0
PRJ-03565,0,0,0,0,0,0,0,0
PRJ-03350,0,0,0,0,0,0,1,0
PRJ-00147,0,0,0,0,0,0,1,0
PRJ-02660,0,0,0,0,1,0,0,0
PRJ-01864,0,1,1,1,1,0,0,0
PRJ-03686,0,0,0,1,0,1,0,0
PRJ-02172,0,0,0,0,0,0,0,0
PRJ-04680,0,0,0,0,0,0,0,0
PRJ-02050,0,0,0,0,0,1,0,0
PRJ-02802,0,0,1,0,0,0,0,0
PRJ-02479,1,0,0,0,0,0,0,0
PRJ-01712,1,0,0,0,0,0,0,0
PRJ-01340,0,0,0,0,0,0,0,0
PRJ-03519,0,0,0,0,0,0,0,1
PRJ-01645,0,0,1,1,1,0,1,0
PRJ-02849,0,1,0,0,0,0,0,1
PRJ-03824,1,0,1,0,0,0,0,0
PRJ-00512,0,1,0,0,0,0,1,0
PRJ-04561,1,0,0,0,1,0,0,0
PRJ-04797,0,0,0,0,0,0,0,1
PRJ-02034,0,0,0,0,1,0,0,0
PRJ-00257,0,0,0,1,0,1,0,0
PRJ-01799,0,0,0,0,0,1,0,0
PRJ-04788,0,1,0,0,0,0,0,0
PRJ-05000,0,0,0,0,0,0,0,0
PRJ-04508,0,0,0,0,0,0,0,0
PRJ-03416,0,0,0,0,0,0,1,0
PRJ-01202,0,0,1,0,0,1,0,0
PRJ-03292,0,0,0,0,0,0,0,0
PRJ-04515,0,0,0,0,0,0,0,0
PRJ-01732,0,0,1,0,0,0,0,0
PRJ-00888,0,0,0,0,1,1,1,0
PRJ-04229,1,0,1,1,0,0,0,1
PRJ-02831,0,0,0,0,0,0,0,0
PRJ-00990,0,0,0,1,0,0,0,0
PRJ-00531,0,0,0,0,0,0,0,0
PRJ-03614,0,0,0,0,0,0,0,0
PRJ-02708,0,0,0,0,0,0,0,0
PRJ-04351,0,0,0,0,0,0,0,0
PRJ-01319,0,0,0,0,0,0,0,0
PRJ-01892,0,0,0,1,0,0,1,0
PRJ-00304,0,0,1,0,0,0,0,1
PRJ-03769,0,0,0,0,0,0,0,0
PRJ-03422,1,0,0,0,0,1,1,1
PRJ-03141,0,0,0,0,0,0,0,0
PRJ-03007,0,0,0,0,0,0,0,0
PRJ-00619,0,0,1,0,1,0,0,0
PRJ-01462,0,0,0,0,0,0,0,0
PRJ-02996,0,0,0,0,0,0,0,0
PRJ-03400,0,0,0,0,0,0,0,0
PRJ-04381,0,0,0,0,0,0,0,0
PRJ-03352,0,0,0,0,0,0,1,0
PRJ-00667,1,0,0,0,0,0,0,0
PRJ-04940,0,0,0,0,0,0,0,0
PRJ-02944,0,0,0,0,0,0,0,0
PRJ-01380,0,0,1,0,0,0,0,0
PRJ-02461,0,0,1,0,0,0,0,0
PRJ-03045,0,0,1,0,0,0,0,0
PRJ-02096,0,0,0,0,0,0,0,0
PRJ-01505,0,0,0,0,0,0,0,0
PRJ-04125,1,0,1,0,0,0,0,0
PRJ-03675,0,0,0,0,0,0,0,0
PRJ-02749,1,0,0,0,0,0,1,0
PRJ-00261,0,1,0,0,0,0,1,1
PRJ-02735,0,0,0,0,0,0,0,0
PRJ-01922,0,0,0,0,0,0,0,0
PRJ-02823,0,0,0,0,0,0,0,0
PRJ-03896,0,0,1,0,0,0,0,1
PRJ-04847,0,0,0,0,0,0,0,0
PRJ-00526,0,0,0,0,1,0,0,0
PRJ-00850,0,1,0,0,0,0,1,1
PRJ-03360,0,0,0,0,0,0,0,0
PRJ-03598,0,0,0,1,1,0,0,0
PRJ-00172,0,0,0,0,0,0,0,0
PRJ-03342,0,0,1,0,0,0,0,0
PRJ-00101,0,0,1,0,0,0,0,0
PRJ-02227,0,0,0,0,0,0,0,0
PRJ-02372,0,0,0,0,0,0,0,0
PRJ-03477,0,0,1,0,0,0,0,0
PRJ-04735,0,0,0,0,0,0,0,0
PRJ-00377,1,0,0,0,0,0,0,0
PRJ-01771,0,0,0,0,1,0,0,0
PRJ-02920,0,1,0,0,0,0,0,0
PRJ-04231,0,0,0,0,0,0,0,0
PRJ-04388,0,1,0,0,0,0,1,0
PRJ-03550,0,0,0,0,0,0,0,0
PRJ-01637,0,0,0,0,0,1,0,0
PRJ-02217,0,0,0,0,0,0,0,0
PRJ-01964,0,0,0,0,0,1,0,0
PRJ-04450,0,0,1,1,0,1,0,0
PRJ-02554,1,0,0,0,0,0,0,0
PRJ-00755,0,0,0,0,0,0,0,0
PRJ-04553,0,0,1,0,0,0,0,1
PRJ-01387,0,0,1,0,0,0,0,1
PRJ-00365,0,1,0,0,0,0,0,0
PRJ-03924,0,0,0,1,1,0,0,0
PRJ-04125,0,0,0,0,0,0,0,0
PRJ-03453,0,0,0,0,0,0,0,0
PRJ-02316,0,0,0,0,0,0,0,0
PRJ-02032,0,0,0,0,0,0,0,0
PRJ-02630,1,0,0,0,0,0,0,0
PRJ-04312,0,0,0,0,0,0,0,1
PRJ-01155,0,0,0,0,0,0,0,0
PRJ-04808,0,0,0,1,0,0,0,0
PRJ-00409,1,0,0,0,0,0,0,0
PRJ-04570,0,0,0,0,0,0,0,0
PRJ-00050,0,0,0,0,0,0,0,1
PRJ-03284,0,1,1,0,1,0,0,1
PRJ-03253,0,0,0,0,0,0,0,0
PRJ-00324,0,0,0,0,0,0,0,0
PRJ-02275,0,0,0,0,0,0,0,0
PRJ-03989,0,1,1,0,0,0,0,0
PRJ-01046,0,0,0,0,0,0,0,0
PRJ-00649,0,0,0,0,0,0,0,0
PRJ-01370,0,0,0,1,0,0,1,0
PRJ-00805,0,0,0,0,0,0,0,0
PRJ-01275,0,0,0,0,0,0,0,0
PRJ-04538,0,0,0,0,0,0,0,0
PRJ-00534,0,0,0,0,0,0,0,0
PRJ-04982,0,0,1,0,0,0,0,1
PRJ-04061,0,0,0,0,0,1,0,0
PRJ-01768,0,0,0,0,0,0,0,0
PRJ-04582,0,0,0,0,0,0,0,0
PRJ-01169,0,0,1,0,0,0,0,1
PRJ-04180,0,0,0,0,0,1,0,0
PRJ-02074,0,0,1,0,1,0,1,0
PRJ-01914,0,0,0,0,0,0,0,0
PRJ-00167,1,0,0,1,0,0,0,0
PRJ-03751,0,0,0,0,0,1,0,0
PRJ-03034,0,0,0,0,1,0,0,0
PRJ-04412,0,0,0,0,0,0,0,0
PRJ-03493,0,0,0,0,0,0,0,0
PRJ-02526,0,0,0,0,0,0,0,0
PRJ-00930,1,0,0,0,0,0,0,0
PRJ-03196,0,0,0,0,0,0,0,0
PRJ-04345,0,0,0,0,0,1,0,0
PRJ-03204,0,0,0,0,0,0,0,0
PRJ-00980,0,0,0,0,0,0,0,0
PRJ-04709,0,0,1,0,0,0,0,0
PRJ-04527,0,0,0,0,0,0,0,1
PRJ-02653,0,0,0,0,0,0,0,0
PRJ-01381,0,0,0,1,0,0,0,1
PRJ-01143,0,0,0,0,0,0,0,0
PRJ-03600,1,0,0,0,0,0,0,0
PRJ-03265,0,0,1,0,0,0,0,0
PRJ-03135,0,0,0,0,0,0,1,1
PRJ-03599,0,0,0,0,0,0,0,0
PRJ-03298,0,0,1,0,0,0,0,0
PRJ-01487,0,0,0,0,0,0,0,0
PRJ-04616,0,0,0,1,0,0,0,0
PRJ-03688,1,0,0,0,0,0,0,0
PRJ-03733,0,1,1,0,0,0,0,0
PRJ-02569,0,0,1,0,0,0,0,0
PRJ-01767,0,0,0,0,1,0,0,0
PRJ-02155,0,0,0,0,0,0,0,1
PRJ-03206,0,0,0,0,0,0,0,0
PRJ-04503,0,0,0,1,0,1,1,0
PRJ-03379,0,0,0,0,0,0,0,0
PRJ-01925,0,0,0,0,0,0,0,0
PRJ-02195,0,1,0,0,0,0,0,0
PRJ-04609,0,0,0,0,0,0,0,0
PRJ-04093,1,0,0,1,0,0,1,0
PRJ-03252,0,0,0,1,0,0,0,1
PRJ-03740,0,0,0,0,0,1,1,0
PRJ-01637,0,0,0,0,0,0,0,0
PRJ-03901,0,0,0,1,0,1,0,1
PRJ-01263,0,0,0,0,0,0,1,0
PRJ-00255,0,0,0,0,0,0,0,0
PRJ-03543,0,0,0,0,1,0,0,0
PRJ-02700,0,0,0,0,1,1,0,0
PRJ-00864,0,1,0,0,0,0,0,0
PRJ-00215,0,0,1,0,0,1,0,0
PRJ-00906,0,0,0,0,0,1,0,0
PRJ-03088,0,0,0,0,0,0,1,0
PRJ-04713,0,0,0,0,1,0,0,0
PRJ-01926,0,1,0,0,0,0,0,0
PRJ-03993,0,0,0,0,0,0,0,0
PRJ-02235,0,0,0,0,0,0,0,0
PRJ-00057,0,0,0,0,0,1,0,0
PRJ-01381,0,0,0,0,0,0,0,0
PRJ-02267,1,0,0,0,0,0,0,0
PRJ-03314,0,0,0,0,0,0,0,0
PRJ-00652,0,0,0,0,0,0,0,0
PRJ-03030,0,0,0,0,0,0,0,1
PRJ-02294,0,0,0,1,0,1,0,0
PRJ-01755,0,0,1,0,0,0,0,1
PRJ-03096,0,0,0,0,0,0,0,0
PRJ-00178,0,0,0,0,0,0,0,0
