compensation_id,case_id,project_id,assessed_amount,amount_paid,payment_status,payment_delay_days
COMP-000001,CASE-000001,PRJ-03428,307740.45,344091.26,Paid,5
COMP-000002,CASE-000002,PRJ-02139,502796.26,420181.18,Pending,203
COMP-000003,CASE-000003,PRJ-03745,592106.35,604463.38,Pending,471
COMP-000004,CASE-000004,PRJ-02250,394909.11,257363.98,Paid,6
COMP-000005,CASE-000005,PRJ-04036,571636.05,1275832.16,Paid,19
COMP-000006,CASE-000006,PRJ-04290,450254.99,329734.74,Paid,19
COMP-000007,CASE-000007,PRJ-02200,1152606.73,612027.56,Paid,12
COMP-000008,CASE-000008,PRJ-04439,574439.59,125894.51,Pending,172
COMP-000009,CASE-000009,PRJ-03430,1022915.01,295579.89,Pending,297
COMP-000010,CASE-000010,PRJ-02206,1042423.12,252380.31,Pending,499
COMP-000011,CASE-000011,PRJ-02296,1711906.58,439939.27,Paid,5
COMP-000012,CASE-000012,PRJ-01034,469811.33,667822.99,Paid,18
COMP-000013,CASE-000013,PRJ-03491,280863.56,848479.08,Paid,21
COMP-000014,CASE-000014,PRJ-00812,114380.7,136544.83,Paid,13
COMP-000015,CASE-000015,PRJ-00576,881407.45,1539208.28,Paid,15
COMP-000016,CASE-000016,PRJ-03483,835630.91,782633.41,Paid,29
COMP-000017,CASE-000017,PRJ-02071,5797685.72,3356320.03,Paid,9
COMP-000018,CASE-000018,PRJ-03984,267944.87,174230.61,Pending,384
COMP-000019,CASE-000019,PRJ-02286,495508.19,571639.05,Paid,23
COMP-000020,CASE-000020,PRJ-02730,4229889.19,927749.88,Pending,465
COMP-000021,CASE-000021,PRJ-02375,3743160.05,4019878.79,Paid,13
COMP-000022,CASE-000022,PRJ-04515,1104197.49,621751.85,Paid,17
COMP-000023,CASE-000023,PRJ-00659,1333541.72,2071948.11,Paid,11
COMP-000024,CASE-000024,PRJ-01550,1268120.6,1284951.91,Paid,18
COMP-000025,CASE-000025,PRJ-02552,294444.93,155645.04,Paid,27
COMP-000026,CASE-000026,PRJ-04529,2318689.27,1291881.01,Paid,13
COMP-000027,CASE-000027,PRJ-04948,878486.36,1026527.18,Paid,0
COMP-000028,CASE-000028,PRJ-01656,1196105.11,348918.21,Paid,2
COMP-000029,CASE-000029,PRJ-01509,3459097.61,1648402.8,Paid,25
COMP-000030,CASE-000030,PRJ-03519,778019.22,1697593.97,Paid,9
COMP-000031,CASE-000031,PRJ-00013,1346102.49,725395.93,Paid,29
COMP-000032,CASE-000032,PRJ-02571,334438.43,121805.67,Paid,0
COMP-000033,CASE-000033,PRJ-04349,651595.81,1457346.03,Paid,16
COMP-000034,CASE-000034,PRJ-00956,6440117.73,7922202.02,Pending,492
COMP-000035,CASE-000035,PRJ-00117,5941827.82,7109355.61,Paid,11
COMP-000036,CASE-000036,PRJ-04351,934354.5,1330938.62,Paid,5
COMP-000037,CASE-000037,PRJ-04931,982518.19,292674.66,Paid,14
COMP-000038,CASE-000038,PRJ-00968,309799.57,880320.16,Paid,9
COMP-000039,CASE-000039,PRJ-01259,701390.29,1028637.31,Paid,22
COMP-000040,CASE-000040,PRJ-01857,1231371.6,1750677.55,Paid,29
COMP-000041,CASE-000041,PRJ-03471,172899.54,552523.04,Paid,13
COMP-000042,CASE-000042,PRJ-02722,803787.3,801271.55,Paid,6
COMP-000043,CASE-000043,PRJ-04802,319212.32,291995.02,Paid,18
COMP-000044,CASE-000044,PRJ-00410,1504235.46,1092929.06,Paid,24
COMP-000045,CASE-000045,PRJ-00408,952285.61,1329967.0,Paid,21
COMP-000046,CASE-000046,PRJ-04038,920507.57,1736614.15,Paid,5
COMP-000047,CASE-000047,PRJ-04420,344393.6,534207.3,Paid,13
COMP-000048,CASE-000048,PRJ-03723,713219.57,362152.44,Paid,29
COMP-000049,CASE-000049,PRJ-02963,635497.88,620772.31,Paid,6
COMP-000050,CASE-000050,PRJ-01806,755794.86,586455.67,Paid,27
COMP-000051,CASE-000051,PRJ-00820,1592439.12,1323834.61,Paid,20
COMP-000052,CASE-000052,PRJ-02500,574469.1,921680.16,Paid,11
COMP-000053,CASE-000053,PRJ-00047,1074470.48,335973.0,Pending,64
COMP-000054,CASE-000054,PRJ-03928,661593.08,776989.99,Paid,0
COMP-000055,CASE-000055,PRJ-04413,1672485.53,1281758.17,Paid,13
COMP-000056,CASE-000056,PRJ-03966,2557841.84,1751110.28,Paid,28
COMP-000057,CASE-000057,PRJ-03783,3096351.44,3778363.07,Paid,12
