rr_id,case_id,affected_families,rehabilitation_required,rehabilitation_status,resettlement_delay_days
RR-000001,CASE-000001,3,0,Completed,0
RR-000002,CASE-000002,4,0,Completed,0
RR-000003,CASE-000003,7,0,Completed,0
RR-000004,CASE-000004,4,1,Partial,210
RR-000005,CASE-000005,5,0,Completed,0
RR-000006,CASE-000006,4,0,Completed,0
RR-000007,CASE-000007,7,0,Completed,0
RR-000008,CASE-000008,3,0,Completed,0
RR-000009,CASE-000009,2,0,Completed,0
RR-000010,CASE-000010,5,0,Completed,0
RR-000011,CASE-000011,10,1,Partial,96
RR-000012,CASE-000012,5,0,Completed,0
RR-000013,CASE-000013,4,0,Completed,0
RR-000014,CASE-000014,4,0,Completed,0
RR-000015,CASE-000015,2,0,Completed,0
RR-000016,CASE-000016,4,0,Completed,0
RR-000017,CASE-000017,3,0,Completed,0
RR-000018,CASE-000018,3,0,Completed,0
RR-000019,CASE-000019,3,0,Completed,0
RR-000020,CASE-000020,5,1,Pending,203
RR-000021,CASE-000021,7,0,Completed,0
RR-000022,CASE-000022,3,0,Completed,0
RR-000023,CASE-000023,4,0,Completed,0
RR-000024,CASE-000024,5,0,Completed,0
RR-000025,CASE-000025,4,0,Completed,0
RR-000026,CASE-000026,3,0,Completed,0
RR-000027,CASE-000027,2,0,Completed,0
RR-000028,CASE-000028,6,0,Completed,0
RR-000029,CASE-000029,3,0,Completed,0
RR-000030,CASE-000030,3,0,Completed,0
RR-000031,CASE-000031,2,0,Completed,0
RR-000032,CASE-000032,1,0,Completed,0
RR-000033,CASE-000033,7,1,Partial,129
RR-000034,CASE-000034,5,1,Partial,248
RR-000035,CASE-000035,5,0,Completed,0
RR-000036,CASE-000036,4,0,Completed,0
RR-000037,CASE-000037,4,0,Completed,0
RR-000038,CASE-000038,10,0,Completed,0
RR-000039,CASE-000039,5,1,Partial,428
RR-000040,CASE-000040,7,0,Completed,0
RR-000041,CASE-000041,7,1,Partial,388
RR-000042,CASE-000042,4,0,Completed,0
RR-000043,CASE-000043,4,0,Completed,0
RR-000044,CASE-000044,5,0,Completed,0
RR-000045,CASE-000045,3,0,Completed,0
RR-000046,CASE-000046,4,1,Under Review,443
RR-000047,CASE-000047,4,0,Completed,0
RR-000048,CASE-000048,6,0,Completed,0
RR-000049,CASE-000049,3,0,Completed,0
RR-000050,CASE-000050,7,1,Under Review,57
RR-000051,CASE-000051,2,0,Completed,0
RR-000052,CASE-000052,4,0,Completed,0
RR-000053,CASE-000053,6,0,Completed,0
RR-000054,CASE-000054,1,0,Completed,0
RR-000055,CASE-000055,2,0,Completed,0
RR-000056,CASE-000056,6,0,Completed,0
RR-000057,CASE-000057,6,1,Pending,84
RR-000058,CASE-000058,3,1,Pending,23
RR-000059,CASE-000059,3,0,Completed,0
RR-000060,CASE-000060,5,0,Completed,0
RR-000061,CASE-000061,6,0,Completed,0
RR-000062,CASE-000062,5,0,Completed,0
RR-000063,CASE-000063,7,0,Completed,0
RR-000064,CASE-000064,5,0,Completed,0
RR-000065,CASE-000065,2,0,Completed,0
RR-000066,CASE-000066,5,1,Partial,371
RR-000067,CASE-000067,2,0,Completed,0
RR-000068,CASE-000068,4,0,Completed,0
RR-000069,CASE-000069,9,1,Under Review,63
RR-000070,CASE-000070,5,0,Completed,0
RR-000071,CASE-000071,6,0,Completed,0
RR-000072,CASE-000072,2,0,Completed,0
RR-000073,CASE-000073,5,0,Completed,0
RR-000074,CASE-000074,8,0,Completed,0
RR-000075,CASE-000075,2,0,Completed,0
