response_id,project_id,stakeholder_type,response_time_days,responsiveness_score
RESP-000001,PRJ-03428,Contractor,2,100.0
RESP-000002,PRJ-02139,Revenue Officer,3,76.9
RESP-000003,PRJ-03745,Project Manager,21,74.2
RESP-000004,PRJ-02250,Project Manager,14,97.4
RESP-000005,PRJ-04036,Project Manager,5,82.0
RESP-000006,PRJ-04290,Contractor,7,91.9
RESP-000007,PRJ-02200,Project Manager,4,86.2
RESP-000008,PRJ-04439,RDO,8,90.9
RESP-000009,PRJ-03430,Landowner,12,85.8
RESP-000010,PRJ-02206,Revenue Officer,7,82.6
RESP-000011,PRJ-02296,RDO,4,97.2
RESP-000012,PRJ-01034,Contractor,4,95.9
RESP-000013,PRJ-03491,Landowner,35,100.0
RESP-000014,PRJ-00812,Revenue Officer,12,81.4
RESP-000015,PRJ-00576,Project Manager,25,89.2
RESP-000016,PRJ-03483,Contractor,6,93.2
RESP-000017,PRJ-02071,Project Manager,31,75.8
RESP-000018,PRJ-03984,Project Manager,12,90.4
RESP-000019,PRJ-02286,Project Manager,10,77.0
RESP-000020,PRJ-02730,Contractor,11,82.0
RESP-000021,PRJ-02375,Project Manager,15,98.1
RESP-000022,PRJ-04515,RDO,8,82.5
RESP-000023,PRJ-00659,Revenue Officer,21,93.3
RESP-000024,PRJ-01550,Landowner,17,93.1
RESP-000025,PRJ-02552,Landowner,7,100.0
RESP-000026,PRJ-04529,Landowner,11,83.8
RESP-000027,PRJ-04948,Revenue Officer,3,100.0
RESP-000028,PRJ-01656,Contractor,8,98.1
RESP-000029,PRJ-01509,Project Manager,15,91.9
RESP-000030,PRJ-03519,Project Manager,9,98.5
RESP-000031,PRJ-00013,Revenue Officer,5,100.0
RESP-000032,PRJ-02571,Revenue Officer,6,91.2
RESP-000033,PRJ-04349,RDO,13,100.0
RESP-000034,PRJ-00956,Contractor,11,71.2
RESP-000035,PRJ-00117,RDO,25,88.6
RESP-000036,PRJ-04351,Revenue Officer,6,72.9
RESP-000037,PRJ-04931,Landowner,15,91.6
RESP-000038,PRJ-00968,Landowner,10,72.7
RESP-000039,PRJ-01259,Landowner,3,76.1
RESP-000040,PRJ-01857,RDO,11,63.1
RESP-000041,PRJ-03471,Revenue Officer,7,89.3
RESP-000042,PRJ-02722,Revenue Officer,9,84.2
RESP-000043,PRJ-04802,Revenue Officer,26,100.0
RESP-000044,PRJ-00410,RDO,12,100.0
RESP-000045,PRJ-00408,Landowner,7,100.0
RESP-000046,PRJ-04038,Revenue Officer,15,84.9
