project_id,project_type,land_required,affected_parcels,affected_families,legal_disputes,compensation_pending,approval_pending,documentation_pending,rehabilitation_pending,notification_pending,award_pending,possession_pending,stakeholder_responsiveness,environmental_risk,weather_risk,risk_score,delay_probability,delay_risk_label,delay_days
PRJ-03428,Urban Development,0.31,6,3,0,0,0,0,0,0,0,0,100.0,1.89,53.53,6.5,0.0998,LOW,0
PRJ-02139,Road,0.98,6,4,0,1,0,0,0,0,1,1,76.9,32.03,18.93,33.4,0.3775,MEDIUM,0
PRJ-03745,Rail,1.53,7,7,0,1,0,0,0,0,1,0,74.2,44.85,10.27,32.1,0.3208,MEDIUM,90
PRJ-02250,Urban Development,0.63,5,4,0,0,0,0,1,1,0,0,97.4,98.07,69.79,25.3,0.2315,MEDIUM,0
PRJ-04036,Industrial Corridor,1.51,6,5,0,0,0,0,0,0,0,0,82.0,69.79,1.48,13.0,0.0998,LOW,0
PRJ-04290,Road,0.7,6,4,0,0,0,0,0,0,0,0,91.9,2.11,75.02,5.7,0.0998,LOW,0
PRJ-02200,Road,1.35,7,7,0,0,0,0,0,0,0,0,86.2,0.89,8.78,12.2,0.1246,LOW,0
PRJ-04439,Urban Development,0.92,4,3,0,1,1,0,0,0,0,0,90.9,59.05,17.46,29.3,0.31,MEDIUM,76
PRJ-03430,Rail,0.78,2,2,0,1,0,0,0,1,0,0,85.8,40.55,31.33,31.1,0.2891,MEDIUM,148
PRJ-02206,Renewable Energy,1.15,3,5,0,1,0,0,0,0,1,0,82.6,29.42,70.61,24.5,0.2689,LOW,0
PRJ-02296,Renewable Energy,2.13,10,10,0,0,0,0,1,0,0,0,97.2,52.89,93.18,17.1,0.19,LOW,0
PRJ-01034,Road,0.89,5,5,0,0,0,0,0,0,0,0,95.9,34.0,30.26,9.1,0.0998,LOW,0
PRJ-03491,Irrigation,0.92,5,4,0,0,0,1,0,0,0,0,100.0,75.41,97.92,20.4,0.1978,LOW,0
PRJ-00812,Urban Development,0.17,12,4,0,0,0,0,0,0,0,0,81.4,94.74,46.54,13.3,0.0998,LOW,0
PRJ-00576,Irrigation,1.18,5,2,0,0,0,0,0,0,0,0,89.2,23.84,48.97,16.3,0.0998,LOW,0
PRJ-03483,Renewable Energy,1.56,7,4,0,0,0,0,0,0,0,0,93.2,39.66,78.5,15.8,0.0998,LOW,0
PRJ-02071,Irrigation,5.41,4,3,1,0,0,0,0,0,0,0,75.8,71.35,26.06,20.7,0.2142,LOW,185
PRJ-03984,Road,0.45,3,3,0,1,0,0,0,0,1,0,90.4,74.49,78.19,21.7,0.2689,LOW,0
PRJ-02286,Road,2.12,5,3,0,0,0,1,0,0,0,1,77.0,46.52,28.94,26.1,0.2891,MEDIUM,77
PRJ-02730,Rail,7.96,13,5,0,1,0,0,1,0,0,0,82.0,92.64,66.06,25.0,0.2891,MEDIUM,0
PRJ-02375,Irrigation,3.19,8,7,0,0,0,0,0,0,0,0,98.1,38.46,59.85,8.0,0.1246,LOW,0
PRJ-04515,Urban Development,0.94,4,3,1,0,0,1,0,0,0,0,82.5,29.56,65.5,38.2,0.3775,MEDIUM,0
PRJ-00659,Irrigation,1.98,7,4,0,0,0,0,0,0,0,0,93.3,65.1,82.92,8.5,0.0998,LOW,0
PRJ-01550,Urban Development,1.05,7,5,0,0,0,0,0,0,0,0,93.1,35.44,0.6,7.2,0.0998,LOW,0
PRJ-02552,Urban Development,0.79,7,4,0,0,0,0,0,0,0,0,100.0,29.54,0.29,10.2,0.0998,LOW,0
PRJ-04529,Industrial Corridor,2.66,6,3,0,0,1,0,0,0,0,1,83.8,82.7,63.93,22.8,0.2497,LOW,0
PRJ-04948,Renewable Energy,0.95,6,2,0,0,0,0,0,0,0,0,100.0,72.03,93.33,6.6,0.0998,LOW,0
PRJ-01656,Road,1.27,8,6,0,0,0,0,0,0,0,0,98.1,99.05,6.09,3.5,0.0998,LOW,0
PRJ-01509,Urban Development,1.96,5,3,0,0,0,1,0,0,0,0,91.9,8.46,2.51,24.7,0.1978,LOW,87
PRJ-03519,Industrial Corridor,1.35,5,3,0,0,0,0,0,0,0,0,98.5,38.53,48.57,4.3,0.0998,LOW,0
PRJ-00013,Rail,2.42,10,2,0,0,1,0,0,0,0,0,100.0,78.49,55.38,13.8,0.168,LOW,0
PRJ-02571,Renewable Energy,0.43,3,1,0,0,0,0,0,1,0,0,91.2,86.09,46.6,21.3,0.1545,LOW,0
PRJ-04349,Industrial Corridor,2.13,2,7,0,0,0,0,1,0,0,0,100.0,91.09,60.02,18.4,0.19,LOW,0
PRJ-00956,Urban Development,6.86,9,5,1,1,0,0,1,0,0,0,71.2,16.08,52.16,59.3,0.5622,HIGH,127
PRJ-00117,Industrial Corridor,10.51,4,5,0,0,0,0,0,0,0,0,88.6,89.42,77.71,15.2,0.1246,LOW,0
PRJ-04351,Road,2.9,7,4,1,0,1,0,0,0,0,0,72.9,27.36,93.18,37.6,0.3318,MEDIUM,80
