parcel_id,record_id,owner_id,ownership_type,ownership_status
PAR-000001,1,OWN-000001,Individual,Verified
PAR-000002,2,OWN-000002,Individual,Verified
PAR-000003,3,OWN-000003,Institutional,Verified
PAR-000004,4,OWN-000004,Joint,Verified
PAR-000005,5,OWN-000005,Individual,Verified
PAR-000006,6,OWN-000006,Individual,Verified
PAR-000007,7,OWN-000007,Individual,Verified
PAR-000008,8,OWN-000008,Individual,Verified
PAR-000009,9,OWN-000009,Individual,Pending Verification
PAR-000010,10,OWN-000010,Institutional,Disputed
PAR-000011,11,OWN-000011,Individual,Verified
PAR-000012,12,OWN-000012,Individual,Verified
PAR-000013,13,OWN-000013,Individual,Verified
PAR-000014,14,OWN-000014,Joint,Verified
PAR-000015,15,OWN-000015,Joint,Verified
PAR-000016,16,OWN-000016,Joint,Verified
PAR-000017,17,OWN-000017,Joint,Verified
PAR-000018,18,OWN-000018,Individual,Verified
PAR-000019,19,OWN-000019,Individual,Verified
PAR-000020,20,OWN-000020,Institutional,Verified
PAR-000021,21,OWN-000021,Government,Verified
PAR-000022,22,OWN-000022,Individual,Disputed
PAR-000023,23,OWN-000023,Individual,Verified
PAR-000024,24,OWN-000024,Joint,Verified
PAR-000025,25,OWN-000025,Individual,Verified
PAR-000026,26,OWN-000026,Individual,Verified
PAR-000027,27,OWN-000027,Joint,Pending Verification
PAR-000028,28,OWN-000028,Individual,Verified
PAR-000029,29,OWN-000029,Individual,Verified
PAR-000030,30,OWN-000030,Individual,Verified
PAR-000031,31,OWN-000031,Individual,Verified
PAR-000032,32,OWN-000032,Individual,Pending Verification
PAR-000033,33,OWN-000033,Joint,Disputed
PAR-000034,34,OWN-000034,Individual,Pending Verification
PAR-000035,35,OWN-000035,Individual,Verified
PAR-000036,36,OWN-000036,Individual,Verified
PAR-000037,37,OWN-000037,Individual,Verified
PAR-000038,38,OWN-000038,Individual,Verified
PAR-000039,39,OWN-000039,Individual,Verified
PAR-000040,40,OWN-000040,Individual,Verified
PAR-000041,41,OWN-000041,Individual,Verified
PAR-000042,42,OWN-000042,Government,Pending Verification
PAR-000043,43,OWN-000043,Individual,Verified
PAR-000044,44,OWN-000044,Government,Verified
PAR-000045,45,OWN-000045,Joint,Verified
PAR-000046,46,OWN-000046,Individual,Verified
PAR-000047,47,OWN-000047,Individual,Verified
PAR-000048,48,OWN-000048,Individual,Pending Verification
PAR-000049,49,OWN-000049,Individual,Verified
PAR-000050,50,OWN-000050,Individual,Verified
PAR-000051,51,OWN-000051,Individual,Verified
PAR-000052,52,OWN-000052,Individual,Verified
PAR-000053,53,OWN-000053,Individual,Verified
PAR-000054,54,OWN-000054,Individual,Verified
PAR-000055,55,OWN-000055,Individual,Pending Verification
PAR-000056,56,OWN-000056,Individual,Verified
PAR-000057,57,OWN-000057,Joint,Verified
PAR-000058,58,OWN-000058,Joint,Verified
PAR-000059,59,OWN-000059,Individual,Verified
PAR-000060,60,OWN-000060,Individual,Verified
PAR-000061,61,OWN-000061,Individual,Verified
PAR-000062,62,OWN-000062,Individual,Verified
PAR-000063,63,OWN-000063,Individual,Verified
PAR-000064,64,OWN-000064,Joint,Verified
PAR-000065,65,OWN-000065,Joint,Verified
PAR-000066,66,OWN-000066,Individual,Pending Verification
PAR-000067,67,OWN-000067,Joint,Verified
PAR-000068,68,OWN-000068,Individual,Verified
PAR-000069,69,OWN-000069,Joint,Verified
PAR-000070,70,OWN-000070,Individual,Verified
PAR-000071,71,OWN-000071,Joint,Verified
PAR-000072,72,OWN-000072,Government,Verified
PAR-000073,73,OWN-000073,Joint,Pending Verification
PAR-000074,74,OWN-000074,Individual,Pending Verification
PAR-000075,75,OWN-000075,Individual,Verified
PAR-000076,76,OWN-000076,Joint,Verified
PAR-000077,77,OWN-000077,Individual,Pending Verification
PAR-000078,78,OWN-000078,Individual,Pending Verification
PAR-000079,79,OWN-000079,Individual,Verified
PAR-000080,80,OWN-000080,Government,Verified
PAR-000081,81,OWN-000081,Joint,Verified
PAR-000082,82,OWN-000082,Government,Verified
PAR-000083,83,OWN-000083,Individual,Verified
PAR-000084,84,OWN-000084,Government,Verified
PAR-000085,85,OWN-000085,Individual,Verified
PAR-000086,86,OWN-000086,Individual,Verified
PAR-000087,87,OWN-000087,Individual,Disputed
PAR-000088,88,OWN-000088,Individual,Verified
PAR-000089,89,OWN-000089,Individual,Verified
PAR-000090,90,OWN-000090,Individual,Verified
PAR-000091,91,OWN-000091,Individual,Pending Verification
PAR-000092,92,OWN-000092,Individual,Verified
PAR-000093,93,OWN-000093,Institutional,Disputed
PAR-000094,94,OWN-000094,Institutional,Verified
PAR-000095,95,OWN-000095,Government,Verified
PAR-000096,96,OWN-000096,Joint,Verified
PAR-000097,97,OWN-000097,Individual,Verified
PAR-000098,98,OWN-000098,Individual,Verified
PAR-000099,99,OWN-000099,Joint,Verified
PAR-000100,100,OWN-000100,Individual,Verified
PAR-000101,101,OWN-000101,Government,Verified
PAR-000102,102,OWN-000102,Individual,Disputed
PAR-000103,103,OWN-000103,Individual,Verified
PAR-000104,104,OWN-000104,Individual,Pending Verification
PAR-000105,105,OWN-000105,Joint,Verified
PAR-000106,106,OWN-000106,Individual,Verified
PAR-000107,107,OWN-000107,Individual,Verified
PAR-000108,108,OWN-000108,Individual,Verified
PAR-000109,109,OWN-000109,Government,Verified
PAR-000110,110,OWN-000110,Individual,Verified
PAR-000111,111,OWN-000111,Government,Verified
PAR-000112,112,OWN-000112,Joint,Verified
PAR-000113,113,OWN-000113,Individual,Pending Verification
PAR-000114,114,OWN-000114,Individual,Verified
PAR-000115,115,OWN-000115,Individual,Pending Verification
PAR-000116,116,OWN-000116,Individual,Verified
PAR-000117,117,OWN-000117,Individual,Verified
PAR-000118,118,OWN-000118,Individual,Verified
PAR-000119,119,OWN-000119,Individual,Verified
PAR-000120,120,OWN-000120,Joint,Pending Verification
PAR-000121,121,OWN-000121,Individual,Verified
PAR-000122,122,OWN-000122,Individual,Verified
PAR-000123,123,OWN-000123,Individual,Verified
PAR-000124,124,OWN-000124,Individual,Verified
PAR-000125,125,OWN-000125,Individual,Verified
PAR-000126,126,OWN-000126,Individual,Verified
PAR-000127,127,OWN-000127,Individual,Verified
PAR-000128,128,OWN-000128,Individual,Verified
PAR-000129,129,OWN-000129,Joint,Verified
PAR-000130,130,OWN-000130,Individual,Pending Verification
PAR-000131,131,OWN-000131,Individual,Verified
PAR-000132,132,OWN-000132,Institutional,Verified
PAR-000133,133,OWN-000133,Individual,Verified
PAR-000134,134,OWN-000134,Individual,Verified
PAR-000135,135,OWN-000135,Government,Verified
PAR-000136,136,OWN-000136,Joint,Verified
PAR-000137,137,OWN-000137,Individual,Verified
PAR-000138,138,OWN-000138,Government,Disputed
PAR-000139,139,OWN-000139,Individual,Verified
PAR-000140,140,OWN-000140,Joint,Verified
PAR-000141,141,OWN-000141,Individual,Disputed
PAR-000142,142,OWN-000142,Individual,Verified
PAR-000143,143,OWN-000143,Individual,Verified
PAR-000144,144,OWN-000144,Institutional,Verified
PAR-000145,145,OWN-000145,Institutional,Verified
PAR-000146,146,OWN-000146,Individual,Verified
PAR-000147,147,OWN-000147,Joint,Verified
PAR-000148,148,OWN-000148,Individual,Pending Verification
PAR-000149,149,OWN-000149,Individual,Verified
PAR-000150,150,OWN-000150,Individual,Verified
PAR-000151,151,OWN-000151,Joint,Verified
PAR-000152,152,OWN-000152,Individual,Disputed
PAR-000153,153,OWN-000153,Individual,Verified
PAR-000154,154,OWN-000154,Institutional,Verified
PAR-000155,155,OWN-000155,Individual,Verified
PAR-000156,156,OWN-000156,Individual,Pending Verification
PAR-000157,157,OWN-000157,Individual,Verified
PAR-000158,158,OWN-000158,Institutional,Disputed
PAR-000159,159,OWN-000159,Institutional,Verified
PAR-000160,160,OWN-000160,Individual,Verified
PAR-000161,161,OWN-000161,Individual,Verified
PAR-000162,162,OWN-000162,Joint,Verified
PAR-000163,163,OWN-000163,Individual,Verified
PAR-000164,164,OWN-000164,Individual,Verified
PAR-000165,165,OWN-000165,Individual,Pending Verification
PAR-000166,166,OWN-000166,Institutional,Pending Verification
PAR-000167,167,OWN-000167,Individual,Verified
PAR-000168,168,OWN-000168,Individual,Verified
PAR-000169,169,OWN-000169,Individual,Verified
PAR-000170,170,OWN-000170,Individual,Verified
PAR-000171,171,OWN-000171,Joint,Pending Verification
PAR-000172,172,OWN-000172,Government,Verified
PAR-000173,173,OWN-000173,Individual,Verified
PAR-000174,174,OWN-000174,Individual,Verified
PAR-000175,175,OWN-000175,Individual,Verified
PAR-000176,176,OWN-000176,Individual,Verified
PAR-000177,177,OWN-000177,Joint,Verified
PAR-000178,178,OWN-000178,Individual,Disputed
PAR-000179,179,OWN-000179,Individual,Verified
PAR-000180,180,OWN-000180,Individual,Verified
PAR-000181,181,OWN-000181,Individual,Pending Verification
PAR-000182,182,OWN-000182,Individual,Verified
PAR-000183,183,OWN-000183,Individual,Disputed
PAR-000184,184,OWN-000184,Individual,Verified
PAR-000185,185,OWN-000185,Individual,Verified
PAR-000186,186,OWN-000186,Individual,Verified
PAR-000187,187,OWN-000187,Joint,Verified
PAR-000188,188,OWN-000188,Institutional,Verified
PAR-000189,189,OWN-000189,Individual,Verified
PAR-000190,190,OWN-000190,Individual,Disputed
PAR-000191,191,OWN-000191,Individual,Pending Verification
PAR-000192,192,OWN-000192,Joint,Verified
PAR-000193,193,OWN-000193,Individual,Verified
PAR-000194,194,OWN-000194,Individual,Verified
PAR-000195,195,OWN-000195,Government,Verified
PAR-000196,196,OWN-000196,Individual,Verified
PAR-000197,197,OWN-000197,Individual,Verified
PAR-000198,198,OWN-000198,Joint,Verified
PAR-000199,199,OWN-000199,Institutional,Verified
PAR-000200,200,OWN-000200,Institutional,Pending Verification
PAR-000201,201,OWN-000201,Individual,Verified
PAR-000202,202,OWN-000202,Joint,Disputed
PAR-000203,203,OWN-000203,Individual,Pending Verification
PAR-000204,204,OWN-000204,Individual,Pending Verification
PAR-000205,205,OWN-000205,Individual,Verified
PAR-000206,206,OWN-000206,Joint,Verified
PAR-000207,207,OWN-000207,Individual,Verified
PAR-000208,208,OWN-000208,Joint,Verified
PAR-000209,209,OWN-000209,Individual,Verified
PAR-000210,210,OWN-000210,Individual,Pending Verification
PAR-000211,211,OWN-000211,Individual,Verified
PAR-000212,212,OWN-000212,Joint,Pending Verification
PAR-000213,213,OWN-000213,Institutional,Verified
PAR-000214,214,OWN-000214,Individual,Verified
PAR-000215,215,OWN-000215,Joint,Pending Verification
PAR-000216,216,OWN-000216,Government,Verified
PAR-000217,217,OWN-000217,Individual,Verified
PAR-000218,218,OWN-000218,Individual,Verified
PAR-000219,219,OWN-000219,Individual,Verified
PAR-000220,220,OWN-000220,Government,Verified
PAR-000221,221,OWN-000221,Individual,Pending Verification
PAR-000222,222,OWN-000222,Government,Verified
PAR-000223,223,OWN-000223,Individual,Verified
PAR-000224,224,OWN-000224,Joint,Verified
PAR-000225,225,OWN-000225,Individual,Disputed
PAR-000226,226,OWN-000226,Individual,Disputed
PAR-000227,227,OWN-000227,Individual,Verified
PAR-000228,228,OWN-000228,Joint,Verified
PAR-000229,229,OWN-000229,Individual,Verified
PAR-000230,230,OWN-000230,Individual,Verified
PAR-000231,231,OWN-000231,Government,Verified
PAR-000232,232,OWN-000232,Individual,Verified
PAR-000233,233,OWN-000233,Individual,Verified
PAR-000234,234,OWN-000234,Individual,Verified
PAR-000235,235,OWN-000235,Joint,Verified
PAR-000236,236,OWN-000236,Individual,Verified
PAR-000237,237,OWN-000237,Joint,Pending Verification
PAR-000238,238,OWN-000238,Joint,Verified
PAR-000239,239,OWN-000239,Individual,Verified
PAR-000240,240,OWN-000240,Government,Verified
PAR-000241,241,OWN-000241,Individual,Verified
PAR-000242,242,OWN-000242,Individual,Verified
PAR-000243,243,OWN-000243,Individual,Verified
PAR-000244,244,OWN-000244,Institutional,Verified
PAR-000245,245,OWN-000245,Individual,Verified
PAR-000246,246,OWN-000246,Individual,Pending Verification
PAR-000247,247,OWN-000247,Individual,Verified
PAR-000248,248,OWN-000248,Individual,Pending Verification
PAR-000249,249,OWN-000249,Individual,Verified
PAR-000250,250,OWN-000250,Individual,Pending Verification
PAR-000251,251,OWN-000251,Institutional,Pending Verification
PAR-000252,252,OWN-000252,Government,Verified
PAR-000253,253,OWN-000253,Individual,Verified
PAR-000254,254,OWN-000254,Institutional,Verified
PAR-000255,255,OWN-000255,Individual,Verified
PAR-000256,256,OWN-000256,Individual,Verified
PAR-000257,257,OWN-000257,Individual,Verified
PAR-000258,258,OWN-000258,Individual,Pending Verification
PAR-000259,259,OWN-000259,Individual,Verified
PAR-000260,260,OWN-000260,Individual,Pending Verification
PAR-000261,261,OWN-000261,Government,Disputed
PAR-000262,262,OWN-000262,Individual,Verified
PAR-000263,263,OWN-000263,Joint,Verified
PAR-000264,264,OWN-000264,Institutional,Verified
PAR-000265,265,OWN-000265,Government,Verified
PAR-000266,266,OWN-000266,Individual,Verified
PAR-000267,267,OWN-000267,Individual,Verified
PAR-000268,268,OWN-000268,Joint,Verified
PAR-000269,269,OWN-000269,Joint,Verified
PAR-000270,270,OWN-000270,Individual,Pending Verification
PAR-000271,271,OWN-000271,Joint,Disputed
PAR-000272,272,OWN-000272,Institutional,Verified
PAR-000273,273,OWN-000273,Institutional,Pending Verification
PAR-000274,274,OWN-000274,Individual,Verified
PAR-000275,275,OWN-000275,Individual,Verified
PAR-000276,276,OWN-000276,Government,Verified
PAR-000277,277,OWN-000277,Joint,Pending Verification
PAR-000278,278,OWN-000278,Individual,Pending Verification
PAR-000279,279,OWN-000279,Institutional,Pending Verification
PAR-000280,280,OWN-000280,Government,Verified
PAR-000281,281,OWN-000281,Joint,Verified
PAR-000282,282,OWN-000282,Government,Verified
PAR-000283,283,OWN-000283,Government,Pending Verification
PAR-000284,284,OWN-000284,Individual,Verified
PAR-000285,285,OWN-000285,Government,Pending Verification
PAR-000286,286,OWN-000286,Joint,Verified
PAR-000287,287,OWN-000287,Individual,Verified
PAR-000288,288,OWN-000288,Joint,Verified
PAR-000289,289,OWN-000289,Individual,Verified
PAR-000290,290,OWN-000290,Institutional,Verified
PAR-000291,291,OWN-000291,Individual,Verified
PAR-000292,292,OWN-000292,Individual,Verified
PAR-000293,293,OWN-000293,Government,Verified
PAR-000294,294,OWN-000294,Joint,Verified
PAR-000295,295,OWN-000295,Institutional,Verified
PAR-000296,296,OWN-000296,Joint,Pending Verification
PAR-000297,297,OWN-000297,Joint,Verified
PAR-000298,298,OWN-000298,Institutional,Pending Verification
PAR-000299,299,OWN-000299,Individual,Verified
PAR-000300,300,OWN-000300,Government,Verified
PAR-000301,301,OWN-000301,Joint,Verified
PAR-000302,302,OWN-000302,Individual,Verified
PAR-000303,303,OWN-000303,Individual,Verified
PAR-000304,304,OWN-000304,Individual,Verified
PAR-000305,305,OWN-000305,Individual,Verified
PAR-000306,306,OWN-000306,Joint,Verified
PAR-000307,307,OWN-000307,Individual,Verified
PAR-000308,308,OWN-000308,Individual,Pending Verification
PAR-000309,309,OWN-000309,Individual,Disputed
PAR-000310,310,OWN-000310,Individual,Verified
PAR-000311,311,OWN-000311,Individual,Verified
PAR-000312,312,OWN-000312,Individual,Verified
PAR-000313,313,OWN-000313,Individual,Verified
PAR-000314,314,OWN-000314,Individual,Verified
PAR-000315,315,OWN-000315,Joint,Verified
PAR-000316,316,OWN-000316,Individual,Pending Verification
PAR-000317,317,OWN-000317,Individual,Verified
PAR-000318,318,OWN-000318,Individual,Disputed
PAR-000319,319,OWN-000319,Joint,Pending Verification
PAR-000320,320,OWN-000320,Joint,Verified
PAR-000321,321,OWN-000321,Joint,Verified
PAR-000322,322,OWN-000322,Individual,Verified
PAR-000323,323,OWN-000323,Joint,Verified
PAR-000324,324,OWN-000324,Individual,Verified
PAR-000325,325,OWN-000325,Individual,Verified
PAR-000326,326,OWN-000326,Individual,Verified
PAR-000327,327,OWN-000327,Individual,Verified
PAR-000328,328,OWN-000328,Joint,Disputed
PAR-000329,329,OWN-000329,Individual,Verified
PAR-000330,330,OWN-000330,Individual,Disputed
PAR-000331,331,OWN-000331,Individual,Verified
PAR-000332,332,OWN-000332,Individual,Disputed
