document_id,record_id,document_type,language,image_quality,document_year
DOC-000001,1,FMB,Tamil-English,Faded,1982
DOC-000002,2,A-Register,Tamil,Moderate,1994
DOC-000003,3,Mutation Order,Tamil,Poor,2010
DOC-000004,4,Chitta,Tamil-English,Good,1997
DOC-000005,5,Mutation Order,Tamil-English,Good,1994
DOC-000006,6,Sale Deed,Tamil-English,Moderate,2017
DOC-000007,7,Sale Deed,Tamil-English,Faded,2000
DOC-000008,8,Sale Deed,Tamil,Faded,2022
DOC-000009,9,Sale Deed,Tamil-English,Good,1997
DOC-000010,10,Sale Deed,Tamil-English,Poor,2006
DOC-000011,11,Mutation Order,Tamil,Good,1999
DOC-000012,12,Sale Deed,Tamil,Moderate,1987
DOC-000013,13,FMB,Tamil,Good,1997
DOC-000014,14,FMB,Tamil,Moderate,1991
DOC-000015,15,Patta,English,Poor,2012
DOC-000016,16,Sale Deed,Tamil,Good,2014
DOC-000017,17,FMB,Tamil,Moderate,2014
DOC-000018,18,Sale Deed,Tamil,Moderate,1991
DOC-000019,19,Patta,Tamil,Good,2015
DOC-000020,20,Mutation Order,Tamil,Moderate,2007
DOC-000021,21,FMB,Tamil,Good,2013
DOC-000022,22,Chitta,English,Moderate,1988
DOC-000023,23,Mutation Order,Tamil,Moderate,1999
DOC-000024,24,Mutation Order,Tamil,Good,2000
DOC-000025,25,FMB,Tamil,Good,1998
DOC-000026,26,FMB,Tamil,Moderate,2020
DOC-000027,27,Sale Deed,Tamil,Poor,2022
DOC-000028,28,FMB,Tamil,Moderate,1999
DOC-000029,29,Mutation Order,Tamil,Moderate,1981
DOC-000030,30,Patta,Tamil,Poor,1993
DOC-000031,31,A-Register,Tamil-English,Moderate,1985
DOC-000032,32,Chitta,Tamil-English,Moderate,1987
DOC-000033,33,Mutation Order,Tamil,Good,2014
DOC-000034,34,Mutation Order,English,Good,2018
DOC-000035,35,Sale Deed,Tamil-English,Good,1981
DOC-000036,36,A-Register,English,Good,1980
DOC-000037,37,Chitta,Tamil,Good,2003
DOC-000038,38,A-Register,Tamil-English,Poor,2017
DOC-000039,39,Sale Deed,Tamil-English,Moderate,2007
