ocr_id,document_id,survey_extracted,owner_extracted_confidence,survey_confidence,language_detected,verification_required
OCR-000001,DOC-000001,4038,0.99,0.788,Tamil,No
OCR-000002,DOC-000002,6849,0.99,0.849,Tamil,No
OCR-000003,DOC-000003,1114,0.99,0.99,Tamil,No
OCR-000004,DOC-000004,5229,0.929,0.906,Tamil,No
OCR-000005,DOC-000005,5904,0.938,0.9,Tamil-English,No
OCR-000006,DOC-000006,7618,0.967,0.947,Tamil,No
OCR-000007,DOC-000007,4887,0.854,0.84,Tamil,No
OCR-000008,DOC-000008,3137,0.981,0.99,Tamil,No
OCR-000009,DOC-000009,5080,0.917,0.936,Tamil,No
OCR-000010,DOC-000010,5979,0.923,0.91,Tamil,No
OCR-000011,DOC-000011,2693,0.913,0.912,Tamil,No
OCR-000012,DOC-000012,7185,0.99,0.98,Tamil,No
OCR-000013,DOC-000013,6602,0.99,0.942,Tamil,No
OCR-000014,DOC-000014,2238,0.857,0.789,Tamil,No
OCR-000015,DOC-000015,4098,0.857,0.945,Tamil,Yes
OCR-000016,DOC-000016,6319,0.9,0.99,Tamil,No
OCR-000017,DOC-000017,837,0.895,0.821,Tamil,No
OCR-000018,DOC-000018,817,0.934,0.99,Tamil-English,No
OCR-000019,DOC-000019,6466,0.842,0.955,Tamil,No
OCR-000020,DOC-000020,5799,0.918,0.965,Tamil,No
OCR-000021,DOC-000021,8694,0.99,0.775,Tamil,No
OCR-000022,DOC-000022,6676,0.793,0.892,Tamil,No
OCR-000023,DOC-000023,4180,0.851,0.772,Tamil-English,Yes
OCR-000024,DOC-000024,164,0.938,0.872,Tamil,No
OCR-000025,DOC-000025,5544,0.926,0.928,Tamil,No
OCR-000026,DOC-000026,4530,0.925,0.922,Tamil,No
OCR-000027,DOC-000027,5612,0.878,0.965,Tamil,No
OCR-000028,DOC-000028,592,0.755,0.78,Tamil,No
OCR-000029,DOC-000029,7746,0.832,0.771,Tamil-English,No
OCR-000030,DOC-000030,5390,0.947,0.99,Tamil,Yes
OCR-000031,DOC-000031,7572,0.798,0.752,Tamil,No
OCR-000032,DOC-000032,6765,0.931,0.929,Tamil-English,No
OCR-000033,DOC-000033,2721,0.929,0.903,Tamil,No
OCR-000034,DOC-000034,4616,0.949,0.99,Tamil,No
OCR-000035,DOC-000035,961,0.974,0.813,Tamil,Yes
OCR-000036,DOC-000036,8573,0.99,0.831,English,No
OCR-000037,DOC-000037,2597,0.954,0.948,Tamil,No
OCR-000038,DOC-000038,1585,0.918,0.99,Tamil,Yes
OCR-000039,DOC-000039,1790,0.951,0.929,Tamil-English,No
OCR-000040,DOC-000040,8759,0.99,0.809,Tamil,No
OCR-000041,DOC-000041,6970,0.959,0.814,Tamil-English,No
OCR-000042,DOC-000042,5788,0.84,0.905,Tamil-English,No
OCR-000043,DOC-000043,2466,0.78,0.868,Tamil,No
OCR-000044,DOC-000044,849,0.99,0.99,Tamil,No
OCR-000045,DOC-000045,1053,0.924,0.937,Tamil,No
OCR-000046,DOC-000046,3243,0.794,0.946,Tamil,No
OCR-000047,DOC-000047,4170,0.79,0.92,Tamil-English,Yes
OCR-000048,DOC-000048,3534,0.741,0.988,English,No
OCR-000049,DOC-000049,3960,0.751,0.851,Tamil-English,No
OCR-000050,DOC-000050,6260,0.939,0.81,Tamil,No
OCR-000051,DOC-000051,6770,0.831,0.925,Tamil-English,No
OCR-000052,DOC-000052,4529,0.92,0.886,English,No
OCR-000053,DOC-000053,3572,0.807,0.921,Tamil,No
OCR-000054,DOC-000054,843,0.824,0.905,Tamil,No
OCR-000055,DOC-000055,2935,0.927,0.99,Tamil,No
OCR-000056,DOC-000056,4858,0.976,0.951,Tamil,No
OCR-000057,DOC-000057,8242,0.854,0.91,Tamil-English,No
OCR-000058,DOC-000058,6796,0.814,0.931,Tamil,No
OCR-000059,DOC-000059,416,0.911,0.806,Tamil-English,No
OCR-000060,DOC-000060,7320,0.955,0.961,Tamil,No
OCR-000061,DOC-000061,9470,0.989,0.826,Tamil-English,No
OCR-000062,DOC-000062,315,0.813,0.923,Tamil-English,No
OCR-000063,DOC-000063,5172,0.845,0.99,Tamil,No
OCR-000064,DOC-000064,6809,0.914,0.93,Tamil-English,No
OCR-000065,DOC-000065,7806,0.905,0.981,Tamil,No
OCR-000066,DOC-000066,5109,0.935,0.911,Tamil,No
OCR-000067,DOC-000067,8521,0.798,0.927,Tamil-English,No
OCR-000068,DOC-000068,7629,0.99,0.882,Tamil,No
OCR-000069,DOC-000069,6714,0.886,0.99,Tamil-English,No
OCR-000070,DOC-000070,6486,0.817,0.883,Tamil,No
OCR-000071,DOC-000071,5048,0.99,0.876,Tamil-English,No
OCR-000072,DOC-000072,3438,0.978,0.89,English,No
