project_id,project_name,project_type,district,taluk,total_land_required,affected_parcels,affected_families,project_start_date,expected_completion_date
PRJ-03428,Coimbatore Urban Development Corridor Project,Urban Development,Coimbatore,Pollachi,0.31,6,3,2023-09-14,2024-11-20
PRJ-02139,Coimbatore Road Corridor Project,Road,Coimbatore,Annur,0.98,6,4,2022-10-01,2023-08-25
PRJ-03745,Coimbatore Rail Corridor Project,Rail,Coimbatore,Madukkarai,1.53,7,7,2025-11-02,2028-01-26
PRJ-02250,Coimbatore Urban Development Corridor Project,Urban Development,Coimbatore,Pollachi,0.63,5,4,2022-06-26,2023-03-21
PRJ-04036,Coimbatore Industrial Corridor Corridor Project,Industrial Corridor,Coimbatore,Sulur,1.51,6,5,2025-01-14,2027-03-17
PRJ-04290,Coimbatore Road Corridor Project,Road,Coimbatore,Coimbatore South,0.7,6,4,2024-05-24,2025-10-17
PRJ-02200,Coimbatore Road Corridor Project,Road,Coimbatore,Coimbatore North,1.35,7,7,2025-09-16,2026-12-25
PRJ-04439,Coimbatore Urban Development Corridor Project,Urban Development,Coimbatore,Pollachi,0.92,4,3,2024-05-23,2025-02-22
PRJ-03430,Coimbatore Rail Corridor Project,Rail,Coimbatore,Sulur,0.78,2,2,2025-07-16,2027-09-14
PRJ-02206,Coimbatore Renewable Energy Corridor Project,Renewable Energy,Coimbatore,Annur,1.15,3,5,2023-04-06,2025-01-30
PRJ-02296,Coimbatore Renewable Energy Corridor Project,Renewable Energy,Coimbatore,Sulur,2.13,10,10,2022-02-06,2024-06-04
PRJ-01034,Coimbatore Road Corridor Project,Road,Coimbatore,Annur,0.89,5,5,2023-08-12,2024-12-28
PRJ-03491,Coimbatore Irrigation Corridor Project,Irrigation,Coimbatore,Kinathukadavu,0.92,5,4,2024-06-16,2026-05-14
PRJ-00812,Coimbatore Urban Development Corridor Project,Urban Development,Coimbatore,Kinathukadavu,0.17,12,4,2023-01-03,2024-07-27
PRJ-00576,Coimbatore Irrigation Corridor Project,Irrigation,Coimbatore,Pollachi,1.18,5,2,2026-01-21,2026-10-22
PRJ-03483,Coimbatore Renewable Energy Corridor Project,Renewable Energy,Coimbatore,Pollachi,1.56,7,4,2022-02-23,2023-07-14
PRJ-02071,Coimbatore Irrigation Corridor Project,Irrigation,Coimbatore,Annur,5.41,4,3,2024-08-19,2026-11-14
PRJ-03984,Coimbatore Road Corridor Project,Road,Coimbatore,Sulur,0.45,3,3,2023-10-17,2025-11-11
PRJ-02286,Coimbatore Road Corridor Project,Road,Coimbatore,Kinathukadavu,2.12,5,3,2024-09-26,2025-06-19
PRJ-02730,Coimbatore Rail Corridor Project,Rail,Coimbatore,Pollachi,7.96,13,5,2024-01-19,2025-06-19
PRJ-02375,Coimbatore Irrigation Corridor Project,Irrigation,Coimbatore,Annur,3.19,8,7,2025-02-16,2026-11-08
