case_id,project_id,dispute_flag,dispute_type,case_status,pending_days
CASE-000001,PRJ-03428,0,None,None,0
CASE-000002,PRJ-02139,0,None,None,0
CASE-000003,PRJ-03745,0,None,None,0
CASE-000004,PRJ-02250,0,None,None,0
CASE-000005,PRJ-04036,0,None,None,0
CASE-000006,PRJ-04290,0,None,None,0
CASE-000007,PRJ-02200,0,None,None,0
CASE-000008,PRJ-04439,0,None,None,0
CASE-000009,PRJ-03430,0,None,None,0
CASE-000010,PRJ-02206,0,None,None,0
CASE-000011,PRJ-02296,0,None,None,0
CASE-000012,PRJ-01034,0,None,None,0
CASE-000013,PRJ-03491,0,None,None,0
CASE-000014,PRJ-00812,0,None,None,0
CASE-000015,PRJ-00576,0,None,None,0
CASE-000016,PRJ-03483,0,None,None,0
CASE-000017,PRJ-02071,1,Ownership,Hearing,152
CASE-000018,PRJ-03984,0,None,None,0
CASE-000019,PRJ-02286,0,None,None,0
CASE-000020,PRJ-02730,0,None,None,0
CASE-000021,PRJ-02375,0,None,None,0
CASE-000022,PRJ-04515,1,Ownership,Appeal,535
CASE-000023,PRJ-00659,0,None,None,0
CASE-000024,PRJ-01550,0,None,None,0
CASE-000025,PRJ-02552,0,None,None,0
CASE-000026,PRJ-04529,0,None,None,0
CASE-000027,PRJ-04948,0,None,None,0
CASE-000028,PRJ-01656,0,None,None,0
CASE-000029,PRJ-01509,0,None,None,0
CASE-000030,PRJ-03519,0,None,None,0
CASE-000031,PRJ-00013,0,None,None,0
CASE-000032,PRJ-02571,0,None,None,0
CASE-000033,PRJ-04349,0,None,None,0
CASE-000034,PRJ-00956,1,Boundary,Open,602
CASE-000035,PRJ-00117,0,None,None,0
CASE-000036,PRJ-04351,1,Ownership,Open,446
CASE-000037,PRJ-04931,0,None,None,0
CASE-000038,PRJ-00968,1,Boundary,Hearing,151
CASE-000039,PRJ-01259,0,None,None,0
CASE-000040,PRJ-01857,1,Compensation,Open,839
CASE-000041,PRJ-03471,0,None,None,0
CASE-000042,PRJ-02722,1,Inheritance,Open,434
CASE-000043,PRJ-04802,0,None,None,0
CASE-000044,PRJ-00410,0,None,None,0
CASE-000045,PRJ-00408,0,None,None,0
CASE-000046,PRJ-04038,0,None,None,0
CASE-000047,PRJ-04420,0,None,None,0
CASE-000048,PRJ-03723,0,None,None,0
CASE-000049,PRJ-02963,0,None,None,0
CASE-000050,PRJ-01806,0,None,None,0
CASE-000051,PRJ-00820,1,Inheritance,Appeal,763
CASE-000052,PRJ-02500,0,None,None,0
CASE-000053,PRJ-00047,0,None,None,0
CASE-000054,PRJ-03928,0,None,None,0
CASE-000055,PRJ-04413,0,None,None,0
CASE-000056,PRJ-03966,0,None,None,0
CASE-000057,PRJ-03783,1,Inheritance,Appeal,665
CASE-000058,PRJ-02071,0,None,None,0
CASE-000059,PRJ-00121,0,None,None,0
CASE-000060,PRJ-04700,0,None,None,0
CASE-000061,PRJ-03565,0,None,None,0
CASE-000062,PRJ-03350,0,None,None,0
CASE-000063,PRJ-00147,0,None,None,0
CASE-000064,PRJ-02660,0,None,None,0
CASE-000065,PRJ-01864,1,Compensation,Appeal,830
CASE-000066,PRJ-03686,1,Boundary,Hearing,163
CASE-000067,PRJ-02172,0,None,None,0
CASE-000068,PRJ-04680,0,None,None,0
CASE-000069,PRJ-02050,0,None,None,0
CASE-000070,PRJ-02802,0,None,None,0
CASE-000071,PRJ-02479,0,None,None,0
CASE-000072,PRJ-01712,0,None,None,0
CASE-000073,PRJ-01340,0,None,None,0
CASE-000074,PRJ-03519,0,None,None,0
CASE-000075,PRJ-01645,1,Inheritance,Open,209
CASE-000076,PRJ-02849,0,None,None,0
CASE-000077,PRJ-03824,0,None,None,0
CASE-000078,PRJ-00512,0,None,None,0
CASE-000079,PRJ-04561,0,None,None,0
CASE-000080,PRJ-04797,0,None,None,0
CASE-000081,PRJ-02034,0,None,None,0
CASE-000082,PRJ-00257,1,Compensation,Open,392
CASE-000083,PRJ-01799,0,None,None,0
CASE-000084,PRJ-04788,0,None,None,0
CASE-000085,PRJ-05000,0,None,None,0
CASE-000086,PRJ-04508,0,None,None,0
CASE-000087,PRJ-03416,0,None,None,0
CASE-000088,PRJ-01202,0,None,None,0
CASE-000089,PRJ-03292,0,None,None,0
CASE-000090,PRJ-04515,0,None,None,0
CASE-000091,PRJ-01732,0,None,None,0
CASE-000092,PRJ-00888,0,None,None,0
CASE-000093,PRJ-04229,1,Compensation,Open,682
CASE-000094,PRJ-02831,0,None,None,0
CASE-000095,PRJ-00990,1,Ownership,Open,92
CASE-000096,PRJ-00531,0,None,None,0
CASE-000097,PRJ-03614,0,None,None,0
CASE-000098,PRJ-02708,0,None,None,0
CASE-000099,PRJ-04351,0,None,None,0
CASE-000100,PRJ-01319,0,None,None,0
CASE-000101,PRJ-01892,1,Inheritance,Open,192
CASE-000102,PRJ-00304,0,None,None,0
CASE-000103,PRJ-03769,0,None,None,0
CASE-000104,PRJ-03422,0,None,None,0
CASE-000105,PRJ-03141,0,None,None,0
CASE-000106,PRJ-03007,0,None,None,0
CASE-000107,PRJ-00619,0,None,None,0
CASE-000108,PRJ-01462,0,None,None,0
CASE-000109,PRJ-02996,0,None,None,0
CASE-000110,PRJ-03400,0,None,None,0
CASE-000111,PRJ-04381,0,None,None,0
CASE-000112,PRJ-03352,0,None,None,0
CASE-000113,PRJ-00667,0,None,None,0
CASE-000114,PRJ-04940,0,None,None,0
CASE-000115,PRJ-02944,0,None,None,0
CASE-000116,PRJ-01380,0,None,None,0
CASE-000117,PRJ-02461,0,None,None,0
CASE-000118,PRJ-03045,0,None,None,0
CASE-000119,PRJ-02096,0,None,None,0
CASE-000120,PRJ-01505,0,None,None,0
CASE-000121,PRJ-04125,0,None,None,0
CASE-000122,PRJ-03675,0,None,None,0
CASE-000123,PRJ-02749,0,None,None,0
CASE-000124,PRJ-00261,0,None,None,0
CASE-000125,PRJ-02735,0,None,None,0
CASE-000126,PRJ-01922,0,None,None,0
CASE-000127,PRJ-02823,0,None,None,0
CASE-000128,PRJ-03896,0,None,None,0
CASE-000129,PRJ-04847,0,None,None,0
CASE-000130,PRJ-00526,0,None,None,0
CASE-000131,PRJ-00850,0,None,None,0
CASE-000132,PRJ-03360,0,None,None,0
CASE-000133,PRJ-03598,1,Inheritance,Hearing,780
CASE-000134,PRJ-00172,0,None,None,0
CASE-000135,PRJ-03342,0,None,None,0
CASE-000136,PRJ-00101,0,None,None,0
CASE-000137,PRJ-02227,0,None,None,0
CASE-000138,PRJ-02372,0,None,None,0
CASE-000139,PRJ-03477,0,None,None,0
CASE-000140,PRJ-04735,0,None,None,0
CASE-000141,PRJ-00377,0,None,None,0
CASE-000142,PRJ-01771,0,None,None,0
CASE-000143,PRJ-02920,0,None,None,0
CASE-000144,PRJ-04231,0,None,None,0
CASE-000145,PRJ-04388,0,None,None,0
CASE-000146,PRJ-03550,0,None,None,0
CASE-000147,PRJ-01637,0,None,None,0
CASE-000148,PRJ-02217,0,None,None,0
CASE-000149,PRJ-01964,0,None,None,0
CASE-000150,PRJ-04450,1,Boundary,Appeal,135
CASE-000151,PRJ-02554,0,None,None,0
CASE-000152,PRJ-00755,0,None,None,0
CASE-000153,PRJ-04553,0,None,None,0
CASE-000154,PRJ-01387,0,None,None,0
CASE-000155,PRJ-00365,0,None,None,0
CASE-000156,PRJ-03924,1,Boundary,Open,208
CASE-000157,PRJ-04125,0,None,None,0
CASE-000158,PRJ-03453,0,None,None,0
CASE-000159,PRJ-02316,0,None,None,0
CASE-000160,PRJ-02032,0,None,None,0
CASE-000161,PRJ-02630,0,None,None,0
CASE-000162,PRJ-04312,0,None,None,0
