approval_id,project_id,department,approval_status,approval_delay_days
APR-000001,PRJ-03428,RDO,Approved,32
APR-000002,PRJ-02139,District Administration,Approved,4
APR-000003,PRJ-03745,RDO,Approved,43
APR-000004,PRJ-02250,District Administration,Approved,36
APR-000005,PRJ-04036,Revenue,Approved,11
APR-000006,PRJ-04290,PWD,Approved,25
APR-000007,PRJ-02200,Rural Development,Approved,11
APR-000008,PRJ-04439,Rural Development,Pending,260
APR-000009,PRJ-03430,RDO,Approved,33
APR-000010,PRJ-02206,PWD,Approved,40
APR-000011,PRJ-02296,PWD,Approved,35
APR-000012,PRJ-01034,PWD,Approved,25
APR-000013,PRJ-03491,District Administration,Approved,40
APR-000014,PRJ-00812,Revenue,Approved,42
APR-000015,PRJ-00576,Revenue,Approved,11
APR-000016,PRJ-03483,Revenue,Approved,25
APR-000017,PRJ-02071,Revenue,Approved,9
APR-000018,PRJ-03984,Rural Development,Approved,25
APR-000019,PRJ-02286,PWD,Approved,42
APR-000020,PRJ-02730,Revenue,Approved,1
APR-000021,PRJ-02375,RDO,Approved,24
APR-000022,PRJ-04515,RDO,Approved,9
APR-000023,PRJ-00659,District Administration,Approved,40
APR-000024,PRJ-01550,Rural Development,Approved,21
APR-000025,PRJ-02552,Rural Development,Approved,2
APR-000026,PRJ-04529,RDO,Pending,25
APR-000027,PRJ-04948,Revenue,Approved,1
APR-000028,PRJ-01656,RDO,Approved,15
APR-000029,PRJ-01509,District Administration,Approved,27
APR-000030,PRJ-03519,PWD,Approved,24
APR-000031,PRJ-00013,Rural Development,Pending,267
APR-000032,PRJ-02571,Revenue,Approved,3
APR-000033,PRJ-04349,RDO,Approved,21
APR-000034,PRJ-00956,Rural Development,Approved,40
APR-000035,PRJ-00117,PWD,Approved,7
APR-000036,PRJ-04351,PWD,Pending,207
APR-000037,PRJ-04931,Revenue,Approved,36
APR-000038,PRJ-00968,District Administration,Pending,252
APR-000039,PRJ-01259,Revenue,Approved,38
APR-000040,PRJ-01857,Revenue,Pending,48
APR-000041,PRJ-03471,RDO,Approved,2
APR-000042,PRJ-02722,RDO,Approved,34
APR-000043,PRJ-04802,RDO,Approved,41
APR-000044,PRJ-00410,District Administration,Approved,23
APR-000045,PRJ-00408,Revenue,Approved,4
APR-000046,PRJ-04038,Rural Development,Pending,488
APR-000047,PRJ-04420,Rural Development,Approved,9
APR-000048,PRJ-03723,District Administration,Approved,19
APR-000049,PRJ-02963,PWD,Approved,2
APR-000050,PRJ-01806,District Administration,Approved,1
APR-000051,PRJ-00820,Revenue,Approved,44
APR-000052,PRJ-02500,District Administration,Approved,16
