risk_id,parcel_id,waterbody_distance_m,flood_risk,environmental_clearance
ENV-000001,PAR-000001,5898.6,Medium,Not Required
ENV-000002,PAR-000002,160.2,Low,Pending
ENV-000003,PAR-000003,402.3,Medium,Not Required
ENV-000004,PAR-000004,225.6,Low,Not Required
ENV-000005,PAR-000005,31.2,Low,Pending
ENV-000006,PAR-000006,205.1,Low,Approved
ENV-000007,PAR-000007,48.6,Low,Not Required
ENV-000008,PAR-000008,301.0,Low,Not Required
ENV-000009,PAR-000009,145.9,Low,Not Required
ENV-000010,PAR-000010,257.6,Low,Pending
ENV-000011,PAR-000011,1144.4,Low,Pending
ENV-000012,PAR-000012,174.6,Medium,Approved
ENV-000013,PAR-000013,258.3,Low,Approved
ENV-000014,PAR-000014,463.0,Low,Not Required
ENV-000015,PAR-000015,268.3,Low,Not Required
ENV-000016,PAR-000016,26.2,High,Not Required
ENV-000017,PAR-000017,1019.1,Low,Not Required
ENV-000018,PAR-000018,120.8,High,Not Required
ENV-000019,PAR-000019,121.1,High,Approved
ENV-000020,PAR-000020,73.9,Medium,Not Required
ENV-000021,PAR-000021,99.4,Medium,Not Required
ENV-000022,PAR-000022,201.4,Low,Approved
ENV-000023,PAR-000023,248.2,Low,Approved
ENV-000024,PAR-000024,143.4,Low,Not Required
ENV-000025,PAR-000025,438.1,Low,Approved
ENV-000026,PAR-000026,160.2,Low,Not Required
ENV-000027,PAR-000027,63.3,High,Not Required
ENV-000028,PAR-000028,205.3,Low,Not Required
ENV-000029,PAR-000029,38.7,Medium,Approved
ENV-000030,PAR-000030,79.8,Low,Approved
ENV-000031,PAR-000031,221.9,Low,Not Required
ENV-000032,PAR-000032,148.8,Medium,Not Required
ENV-000033,PAR-000033,406.5,Medium,Not Required
ENV-000034,PAR-000034,117.9,Low,Not Required
ENV-000035,PAR-000035,434.5,Low,Pending
ENV-000036,PAR-000036,97.4,Low,Not Required
ENV-000037,PAR-000037,227.7,Medium,Not Required
ENV-000038,PAR-000038,372.8,Low,Approved
ENV-000039,PAR-000039,406.6,Low,Approved
ENV-000040,PAR-000040,70.6,Medium,Approved
