weather_id,project_id,monsoon_exposure,extreme_rain_events,weather_risk_score
WX-000001,PRJ-03428,Low,0,52.0
WX-000002,PRJ-02139,Low,2,45.0
WX-000003,PRJ-03745,Medium,0,78.5
WX-000004,PRJ-02250,Medium,0,25.5
WX-000005,PRJ-04036,Low,0,75.7
WX-000006,PRJ-04290,High,1,11.9
WX-000007,PRJ-02200,Medium,1,12.8
WX-000008,PRJ-04439,Low,1,80.1
WX-000009,PRJ-03430,Medium,4,69.7
WX-000010,PRJ-02206,Low,2,40.0
WX-000011,PRJ-02296,Medium,1,68.4
WX-000012,PRJ-01034,Medium,3,4.5
WX-000013,PRJ-03491,Low,1,12.4
WX-000014,PRJ-00812,Medium,1,78.3
WX-000015,PRJ-00576,Low,3,54.9
WX-000016,PRJ-03483,Low,1,17.8
WX-000017,PRJ-02071,Low,2,99.8
WX-000018,PRJ-03984,Medium,1,44.2
WX-000019,PRJ-02286,Medium,4,34.5
WX-000020,PRJ-02730,Low,0,31.8
WX-000021,PRJ-02375,Low,3,79.5
WX-000022,PRJ-04515,Medium,1,17.0
WX-000023,PRJ-00659,High,4,6.0
WX-000024,PRJ-01550,Medium,3,34.5
WX-000025,PRJ-02552,Medium,2,78.9
WX-000026,PRJ-04529,Low,2,91.5
WX-000027,PRJ-04948,Low,1,47.8
WX-000028,PRJ-01656,Low,2,80.8
WX-000029,PRJ-01509,Low,1,89.8
WX-000030,PRJ-03519,Low,3,23.3
WX-000031,PRJ-00013,High,0,43.6
WX-000032,PRJ-02571,High,2,95.0
WX-000033,PRJ-04349,Low,1,25.4
WX-000034,PRJ-00956,Medium,0,35.4
WX-000035,PRJ-00117,High,1,19.9
WX-000036,PRJ-04351,Low,4,71.8
WX-000037,PRJ-04931,Low,1,76.3
WX-000038,PRJ-00968,Low,3,32.4
WX-000039,PRJ-01259,Low,1,28.3
WX-000040,PRJ-01857,High,3,17.4
WX-000041,PRJ-03471,Low,2,43.4
WX-000042,PRJ-02722,Low,0,11.5
WX-000043,PRJ-04802,Low,1,25.2
WX-000044,PRJ-00410,Medium,2,26.1
