delay_id,project_id,historical_delay,delay_days,delay_stage,delay_reason
DLY-000001,PRJ-03428,0,0,None,Pending approvals
DLY-000002,PRJ-02139,0,0,None,Compensation delay
DLY-000003,PRJ-03745,1,90,Rehabilitation,Compensation delay
DLY-000004,PRJ-02250,0,0,None,Rehabilitation delay
DLY-000005,PRJ-04036,0,0,None,Pending approvals
DLY-000006,PRJ-04290,0,0,None,Pending approvals
DLY-000007,PRJ-02200,0,0,None,Stakeholder bottleneck
DLY-000008,PRJ-04439,1,76,Award,Pending approvals
DLY-000009,PRJ-03430,1,148,Rehabilitation,Compensation delay
DLY-000010,PRJ-02206,0,0,None,Compensation delay
DLY-000011,PRJ-02296,0,0,None,Rehabilitation delay
DLY-000012,PRJ-01034,0,0,None,Pending approvals
DLY-000013,PRJ-03491,0,0,None,Incomplete documentation
DLY-000014,PRJ-00812,0,0,None,Pending approvals
DLY-000015,PRJ-00576,0,0,None,Pending approvals
DLY-000016,PRJ-03483,0,0,None,Pending approvals
DLY-000017,PRJ-02071,1,185,Notification,Legal dispute
DLY-000018,PRJ-03984,0,0,None,Compensation delay
DLY-000019,PRJ-02286,1,77,Approval,Incomplete documentation
DLY-000020,PRJ-02730,0,0,None,Compensation delay
DLY-000021,PRJ-02375,0,0,None,Stakeholder bottleneck
DLY-000022,PRJ-04515,0,0,None,Legal dispute
DLY-000023,PRJ-00659,0,0,None,Pending approvals
DLY-000024,PRJ-01550,0,0,None,Pending approvals
DLY-000025,PRJ-02552,0,0,None,Pending approvals
DLY-000026,PRJ-04529,0,0,None,Pending approvals
DLY-000027,PRJ-04948,0,0,None,Pending approvals
DLY-000028,PRJ-01656,0,0,None,Pending approvals
DLY-000029,PRJ-01509,1,87,Approval,Incomplete documentation
DLY-000030,PRJ-03519,0,0,None,Pending approvals
DLY-000031,PRJ-00013,0,0,None,Pending approvals
DLY-000032,PRJ-02571,0,0,None,Notification pending
DLY-000033,PRJ-04349,0,0,None,Rehabilitation delay
DLY-000034,PRJ-00956,1,127,Notification,Compensation delay
DLY-000035,PRJ-00117,0,0,None,Pending approvals
DLY-000036,PRJ-04351,1,80,Award,Pending approvals
DLY-000037,PRJ-04931,0,0,None,Pending approvals
DLY-000038,PRJ-00968,0,0,None,Pending approvals
DLY-000039,PRJ-01259,0,0,None,Rehabilitation delay
DLY-000040,PRJ-01857,1,104,Possession,Pending approvals
DLY-000041,PRJ-03471,0,0,None,Rehabilitation delay
DLY-000042,PRJ-02722,0,0,None,Legal dispute
DLY-000043,PRJ-04802,1,105,Award,Possession pending
DLY-000044,PRJ-00410,0,0,None,Pending approvals
DLY-000045,PRJ-00408,0,0,None,Incomplete documentation
DLY-000046,PRJ-04038,1,119,Legal,Pending approvals
DLY-000047,PRJ-04420,0,0,None,Pending approvals
DLY-000048,PRJ-03723,1,28,Possession,Notification pending
DLY-000049,PRJ-02963,1,68,Notification,Pending approvals
DLY-000050,PRJ-01806,0,0,None,Rehabilitation delay
DLY-000051,PRJ-00820,1,42,Rehabilitation,Legal dispute
DLY-000052,PRJ-02500,0,0,None,Pending approvals
DLY-000053,PRJ-00047,0,0,None,Compensation delay
DLY-000054,PRJ-03928,0,0,None,Pending approvals
DLY-000055,PRJ-04413,0,0,None,Notification pending
DLY-000056,PRJ-03966,0,0,None,Incomplete documentation
DLY-000057,PRJ-03783,1,84,Legal,Legal dispute
DLY-000058,PRJ-02071,0,0,None,Rehabilitation delay
DLY-000059,PRJ-00121,0,0,None,Compensation delay
DLY-000060,PRJ-04700,0,0,None,Pending approvals
DLY-000061,PRJ-03565,0,0,None,Pending approvals
DLY-000062,PRJ-03350,0,0,None,Pending approvals
DLY-000063,PRJ-00147,0,0,None,Pending approvals
DLY-000064,PRJ-02660,0,0,None,Possession pending
DLY-000065,PRJ-01864,1,107,Rehabilitation,Compensation delay
DLY-000066,PRJ-03686,0,0,None,Legal dispute
DLY-000067,PRJ-02172,0,0,None,Pending approvals
DLY-000068,PRJ-04680,0,0,None,Pending approvals
DLY-000069,PRJ-02050,0,0,None,Rehabilitation delay
DLY-000070,PRJ-02802,0,0,None,Compensation delay
DLY-000071,PRJ-02479,0,0,None,Notification pending
DLY-000072,PRJ-01712,0,0,None,Notification pending
DLY-000073,PRJ-01340,0,0,None,Pending approvals
DLY-000074,PRJ-03519,0,0,None,Incomplete documentation
DLY-000075,PRJ-01645,1,109,Possession,Pending approvals
DLY-000076,PRJ-02849,0,0,None,Incomplete documentation
DLY-000077,PRJ-03824,1,94,Notification,Compensation delay
DLY-000078,PRJ-00512,1,135,Possession,Pending approvals
DLY-000079,PRJ-04561,0,0,None,Notification pending
DLY-000080,PRJ-04797,1,76,Rehabilitation,Incomplete documentation
DLY-000081,PRJ-02034,0,0,None,Stakeholder bottleneck
DLY-000082,PRJ-00257,0,0,None,Legal dispute
DLY-000083,PRJ-01799,0,0,None,Rehabilitation delay
DLY-000084,PRJ-04788,0,0,None,Pending approvals
DLY-000085,PRJ-05000,0,0,None,Pending approvals
DLY-000086,PRJ-04508,0,0,None,Pending approvals
DLY-000087,PRJ-03416,0,0,None,Pending approvals
DLY-000088,PRJ-01202,0,0,None,Compensation delay
DLY-000089,PRJ-03292,0,0,None,Pending approvals
DLY-000090,PRJ-04515,0,0,None,Pending approvals
DLY-000091,PRJ-01732,0,0,None,Compensation delay
DLY-000092,PRJ-00888,1,80,Award,Pending approvals
DLY-000093,PRJ-04229,1,103,Notification,Compensation delay
DLY-000094,PRJ-02831,0,0,None,Stakeholder bottleneck
DLY-000095,PRJ-00990,0,0,None,Legal dispute
DLY-000096,PRJ-00531,0,0,None,Pending approvals
DLY-000097,PRJ-03614,0,0,None,Pending approvals
DLY-000098,PRJ-02708,0,0,None,Pending approvals
DLY-000099,PRJ-04351,0,0,None,Stakeholder bottleneck
DLY-000100,PRJ-01319,1,64,Approval,Stakeholder bottleneck
DLY-000101,PRJ-01892,0,0,None,Pending approvals
DLY-000102,PRJ-00304,1,103,Rehabilitation,Compensation delay
DLY-000103,PRJ-03769,1,132,Approval,Stakeholder bottleneck
DLY-000104,PRJ-03422,1,120,Possession,Pending approvals
DLY-000105,PRJ-03141,0,0,None,Pending approvals
DLY-000106,PRJ-03007,1,61,Legal,Pending approvals
DLY-000107,PRJ-00619,0,0,None,Compensation delay
DLY-000108,PRJ-01462,0,0,None,Pending approvals
DLY-000109,PRJ-02996,1,201,Award,Pending approvals
DLY-000110,PRJ-03400,0,0,None,Pending approvals
DLY-000111,PRJ-04381,0,0,None,Stakeholder bottleneck
DLY-000112,PRJ-03352,0,0,None,Pending approvals
DLY-000113,PRJ-00667,0,0,None,Notification pending
DLY-000114,PRJ-04940,0,0,None,Pending approvals
DLY-000115,PRJ-02944,0,0,None,Pending approvals
DLY-000116,PRJ-01380,1,74,Possession,Compensation delay
DLY-000117,PRJ-02461,0,0,None,Compensation delay
DLY-000118,PRJ-03045,1,40,Approval,Compensation delay
DLY-000119,PRJ-02096,0,0,None,Pending approvals
DLY-000120,PRJ-01505,0,0,None,Stakeholder bottleneck
DLY-000121,PRJ-04125,0,0,None,Compensation delay
DLY-000122,PRJ-03675,0,0,None,Stakeholder bottleneck
DLY-000123,PRJ-02749,0,0,None,Pending approvals
DLY-000124,PRJ-00261,0,0,None,Pending approvals
DLY-000125,PRJ-02735,0,0,None,Pending approvals
DLY-000126,PRJ-01922,0,0,None,Pending approvals
DLY-000127,PRJ-02823,0,0,None,Pending approvals
DLY-000128,PRJ-03896,1,114,Possession,Compensation delay
DLY-000129,PRJ-04847,0,0,None,Pending approvals
DLY-000130,PRJ-00526,0,0,None,Possession pending
DLY-000131,PRJ-00850,1,106,Legal,Pending approvals
DLY-000132,PRJ-03360,0,0,None,Stakeholder bottleneck
DLY-000133,PRJ-03598,1,106,Rehabilitation,Legal dispute
DLY-000134,PRJ-00172,0,0,None,Pending approvals
DLY-000135,PRJ-03342,0,0,None,Compensation delay
DLY-000136,PRJ-00101,0,0,None,Compensation delay
DLY-000137,PRJ-02227,0,0,None,Pending approvals
DLY-000138,PRJ-02372,0,0,None,Pending approvals
DLY-000139,PRJ-03477,1,96,Compensation,Compensation delay
DLY-000140,PRJ-04735,0,0,None,Pending approvals
DLY-000141,PRJ-00377,0,0,None,Notification pending
DLY-000142,PRJ-01771,0,0,None,Possession pending
DLY-000143,PRJ-02920,0,0,None,Pending approvals
DLY-000144,PRJ-04231,0,0,None,Pending approvals
DLY-000145,PRJ-04388,0,0,None,Pending approvals
DLY-000146,PRJ-03550,0,0,None,Pending approvals
DLY-000147,PRJ-01637,0,0,None,Rehabilitation delay
DLY-000148,PRJ-02217,0,0,None,Stakeholder bottleneck
DLY-000149,PRJ-01964,0,0,None,Rehabilitation delay
DLY-000150,PRJ-04450,1,186,Compensation,Compensation delay
DLY-000151,PRJ-02554,0,0,None,Notification pending
DLY-000152,PRJ-00755,0,0,None,Pending approvals
DLY-000153,PRJ-04553,0,0,None,Compensation delay
DLY-000154,PRJ-01387,0,0,None,Compensation delay
DLY-000155,PRJ-00365,0,0,None,Stakeholder bottleneck
DLY-000156,PRJ-03924,0,0,None,Legal dispute
DLY-000157,PRJ-04125,0,0,None,Pending approvals
DLY-000158,PRJ-03453,0,0,None,Stakeholder bottleneck
DLY-000159,PRJ-02316,0,0,None,Pending approvals
DLY-000160,PRJ-02032,0,0,None,Pending approvals
DLY-000161,PRJ-02630,0,0,None,Notification pending
DLY-000162,PRJ-04312,1,28,Legal,Incomplete documentation
