record_id,parcel_id,project_id,case_id,compensation_id,approval_id,delay_id,district,taluk,village,survey_no,area,classification,legal_disputes,compensation_pending,approval_pending,documentation_pending,rehabilitation_pending,stakeholder_responsiveness,delay_days,risk_score,delay_probability,risk_category,delay_reason
1,PAR-000001,PRJ-03428,CASE-000001,COMP-000001,APR-000001,DLY-000001,Coimbatore,Coimbatore North,Negamam,4038,0.266,Residential,0,0,0,0,0,100.0,0,6.5,0.0998,LOW,Pending approvals
2,PAR-000002,PRJ-02139,CASE-000002,COMP-000002,APR-000002,DLY-000002,Coimbatore,Madukkarai,Mettupalayam,6849,0.59,Punjai,0,1,0,0,0,76.9,0,33.4,0.3775,MEDIUM,Compensation delay
3,PAR-000003,PRJ-03745,CASE-000003,COMP-000003,APR-000003,DLY-000003,Coimbatore,Sulur,Sulur,1114,0.819,Nanjai,0,1,0,0,0,74.2,90,32.1,0.3208,MEDIUM,Compensation delay
4,PAR-000004,PRJ-02250,CASE-000004,COMP-000004,APR-000004,DLY-000004,Coimbatore,Kinathukadavu,Pollachi,5229,0.396,Industrial,0,0,0,0,1,97.4,0,25.3,0.2315,MEDIUM,Rehabilitation delay
5,PAR-000005,PRJ-04036,CASE-000005,COMP-000005,APR-000005,DLY-000005,Coimbatore,Pollachi,Kinathukadavu,5904,0.865,Nanjai,0,0,0,0,0,82.0,0,13.0,0.0998,LOW,Pending approvals
6,PAR-000006,PRJ-04290,CASE-000006,COMP-000006,APR-000006,DLY-000006,Coimbatore,Annur,Kovilpalayam,7618,0.577,Commercial,0,0,0,0,0,91.9,0,5.7,0.0998,LOW,Pending approvals
7,PAR-000007,PRJ-02200,CASE-000007,COMP-000007,APR-000007,DLY-000007,Coimbatore,Pollachi,Perur,4887,0.688,Poramboke,0,0,0,0,0,86.2,0,12.2,0.1246,LOW,Stakeholder bottleneck
8,PAR-000008,PRJ-04439,CASE-000008,COMP-000008,APR-000008,DLY-000008,Coimbatore,Kinathukadavu,Saravanampatti,3137,0.537,Punjai,0,1,1,0,0,90.9,76,29.3,0.31,MEDIUM,Pending approvals
9,PAR-000009,PRJ-03430,CASE-000009,COMP-000009,APR-000009,DLY-000009,Coimbatore,Coimbatore South,Pollachi,5080,0.637,Residential,0,1,0,0,0,85.8,148,31.1,0.2891,MEDIUM,Compensation delay
10,PAR-000010,PRJ-02206,CASE-000010,COMP-000010,APR-000010,DLY-000010,Coimbatore,Coimbatore North,Pollachi,5979,0.845,Punjai,0,1,0,0,0,82.6,0,24.5,0.2689,LOW,Compensation delay
